buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
NAME:orchestre national pays loir,Orchestre National des Pays de la Loir,1,0.0129925350194989,0.0230256739572195,0.0129925350194989,0
NAME:sde35,SDE35,1,0.0129925350194989,0.0230256739572195,0.0129925350194989,0
NAME:comm comm doue fontaine,Comm Comm de Doué la Fontaine,1,0.0129832059515079,0.0230093087090117,0.0129832059515079,0
NAME:communaute communes pays redon,COMMUNAUTE COMMUNES PAYS DE REDON,1,0.0129785438967451,0.0230011303445057,0.0129785438967451,0
NAME:cte reg peches maritimes elevages mari,CTE REG PECHES MARITIMES ELEVAGES MARI,1,0.0129785438967451,0.0230011303445057,0.0129785438967451,0
NAME:centre hospitalier specialise blain,Centre Hospitalier Spécialisé de Blain,1,0.0129692247428359,0.0229847821300061,0.0129692247428359,0
NAME:ville avrille,Ville d'Avrillé,1,0.0129692247428359,0.0229847821300061,0.0129692247428359,0
NAME:residences saint alexandre,RESIDENCES SAINT ALEXANDRE,1,0.0129645676425503,0.0229766122781394,0.0129645676425503,0
NAME:sictom loir sarthe,SICTOM Loir et Sarthe,1,0.0129645676425503,0.0229766122781394,0.0129645676425503,0
NAME:smirgeom est sarthe,SMIRGEOM Est Sarthe,1,0.0120117033363483,0.0213037694758233,0.0120117033363483,0
