method,n,events,event_rate,survival_24m,survival_60m
M0 balanced,1661,183,0.11017459361830223,0.9435771453944917,0.8770264160301731
M2 balanced,1661,68,0.040939193257074055,0.9805570539014562,0.9529426923060167
