model,AIC,log_likelihood,n_rows,n_events
LogNormalAFT,3360.490732625364,-1675.245366312682,1210,254
WeibullAFT,3391.6171122720607,-1690.8085561360303,1210,254
LogLogisticAFT,3392.5437639211145,-1691.2718819605573,1210,254
