contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:15-171325,SIREN:130031487,Chambre Agriculture Pays de la Loire,130031487,,SIREN_ENRICHED,Telecom & Networks,2015-11-10,24.0,2017-11-10,0.03175155598658019,0.05545691648583906,Low,model-estimated recurrence probability,False,32.0,0,127.92,LogLogisticAFT
BOAMP:15-173700,SIREN:214401432,Ville de Rezé,214401432,,SIREN_ENRICHED,Software & Applications,2015-11-17,36.0,2018-11-17,0.022145183208762353,0.03896716973867409,Low,model-estimated recurrence probability,False,48.0,0,127.69,LogLogisticAFT
BOAMP:15-174987,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2015-11-18,48.0,2019-11-18,0.028412376088064573,0.04975284279217396,Low,duration imputed,False,72.0,1,45.73,LogLogisticAFT
BOAMP:15-175210,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Cybersecurity,2016-02-25,48.0,2020-02-25,0.023426926993440622,0.04118155122754219,Low,duration imputed,False,72.0,0,124.41,LogLogisticAFT
BOAMP:15-175690,NAME:cnieg,CNIEG,,,NAME,IT Services & Consulting,2016-02-23,24.0,2018-02-23,0.02789725344420102,0.04887027398926136,Low,model-estimated recurrence probability,False,72.0,0,124.47,LogLogisticAFT
BOAMP:15-177015,NAME:conseil general loire atlantique,Conseil général de Loire-Atlantique,,,NAME,Telecom & Networks,2016-04-28,48.0,2020-04-28,0.01730003746719533,0.030556550508918923,Low,model-estimated recurrence probability,False,18.0,0,122.34,LogLogisticAFT
BOAMP:15-178728,SIREN:247200132,Le Mans Métropole - Communauté Urbaine,247200132,,SIREN_ENRICHED,Software & Applications,2016-03-14,48.0,2020-03-14,0.018305735163964387,0.032307549261624935,Low,duration imputed,False,48.0,0,123.82,LogLogisticAFT
BOAMP:15-179034,NAME:c h s sarthe,C.H.S. de la Sarthe,,,NAME,Data & AI,2015-11-27,48.0,2019-11-27,0.018213000561656312,0.032146205887873425,Low,model-estimated recurrence probability,False,,0,127.37,LogLogisticAFT
BOAMP:15-179747,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,Software & Applications,2015-11-27,48.0,2019-11-27,0.018299197310959303,0.03229617520716055,Low,duration imputed,False,48.0,0,127.37,LogLogisticAFT
BOAMP:15-178791,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Cybersecurity,2015-11-30,48.0,2019-11-30,0.024794727069931022,0.043539752583858116,Low,model-estimated recurrence probability,False,72.0,1,49.87,LogLogisticAFT
BOAMP:15-182957,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,Software & Applications,2015-12-04,48.0,2019-12-04,0.018299197310959303,0.03229617520716055,Low,duration imputed,False,48.0,0,127.14,LogLogisticAFT
BOAMP:15-184251,SIREN:194909701,Université d'Angers,194909701,,SIREN_ENRICHED,Software & Applications,2016-05-02,36.0,2019-05-02,0.022153064130502775,0.03898079854394787,Low,model-estimated recurrence probability,True,48.0,0,122.21,LogLogisticAFT
BOAMP:15-185112,NAME:conseil general vendee,Conseil général de la Vendée,,,NAME,IT Services & Consulting,2016-04-11,48.0,2020-04-11,0.020197360351436378,0.0355935935308922,Low,duration imputed,False,72.0,0,122.9,LogLogisticAFT
BOAMP:15-186668,NAME:e c s gendarmerie nationale,E.C.A.S. gendarmerie nationale,,,NAME,Telecom & Networks,2016-04-04,48.0,2020-04-04,0.01730003746719533,0.030556550508918923,Low,model-estimated recurrence probability,False,32.0,0,123.13,LogLogisticAFT
