model,AIC,log_likelihood,n,events
LogLogisticAFT,2676.5386705193246,-1326.2693352596623,1661,183
WeibullAFT,2680.77937120506,-1328.38968560253,1661,183
LogNormalAFT,2757.6293454618008,-1366.8146727309004,1661,183
