rule_name,n,events,event_rate,km_median_months,survival_12m,survival_24m,survival_36m,survival_48m,survival_60m
broad,1210,490,0.4049586776859504,inf,0.9137215593334727,0.8429045462674994,0.8028635052532063,0.6829620707643911,0.5568424965832991
balanced,1210,269,0.22231404958677686,inf,0.9593262418851396,0.9229928714737403,0.9054603340727138,0.8324989827689695,0.7517968179148288
strict,1210,79,0.0652892561983471,inf,0.9900368346673875,0.9815925206368762,0.9762748632801473,0.957503096282453,0.9247180138031933
