contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:24-34106,SIRET:47865038500014,CNIEG,,47865038500014,SIRET,IT Services & Consulting,2024-03-22,3.0,2024-06-22,0.0487027703835794,0.08396623094598266,Low,model-estimated recurrence probability,False,72.0,0,27.56,LogLogisticAFT
BOAMP:25-23877,SIRET:20007187600011,Communauté d'agglomération Saumur Val de Loire (49),,20007187600011,SIRET,IT Services & Consulting,2025-03-04,3.942181340341656,2025-07-04,0.048226483366450634,0.08317523828418771,Low,model-estimated recurrence probability,False,72.0,0,16.16,LogLogisticAFT
BOAMP:25-53516,SIRET:80355563000018,E-TOILE Coordonnateur groupement comm,,80355563000018,SIRET,IT Services & Consulting,2025-05-14,3.942181340341656,2025-09-14,0.048226483366450634,0.08317523828418771,Low,model-estimated recurrence probability,True,72.0,0,13.83,LogLogisticAFT
BOAMP:25-63325,SIRET:05720113900045,PODELIHA,927831396,05720113900045,SIRET,IT Services & Consulting,2025-06-06,3.942181340341656,2025-10-06,0.048226483366450634,0.08317523828418771,Low,model-estimated recurrence probability,False,72.0,0,13.07,LogLogisticAFT
BOAMP:25-27774,SIRET:19561718800600,"UNIVERSITÉ  BRETAGNE SUD
Direction des affaires financières",,19561718800600,SIRET,IT Services & Consulting,2025-03-13,3.942181340341656,2025-07-13,0.048226483366450634,0.08317523828418771,Low,model-estimated recurrence probability,False,38.0,0,15.87,LogLogisticAFT
BOAMP:24-21999,SIRET:20004248900019,Syndicat Départemental d'Energie et d'Equipement de la Vendée (85),,20004248900019,SIRET,IT Services & Consulting,2024-02-23,3.942181340341656,2024-06-23,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,True,72.0,0,28.48,LogLogisticAFT
BOAMP:24-140663,SIRET:20005889900010,COMMUNE DE BEAUFORT-EN-ANJOU,200058899,20005889900010,SIRET,IT Services & Consulting,2024-12-17,3.942181340341656,2025-04-17,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,False,72.0,0,18.69,LogLogisticAFT
BOAMP:24-125547,SIRET:24850058900085,La Roche sur Yon Agglomération (85),521017848,24850058900085,SIRET,IT Services & Consulting,2024-11-06,3.942181340341656,2025-03-06,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,False,72.0,0,20.04,LogLogisticAFT
BOAMP:24-127394,SIRET:51532951400035,France Velo Tourisme,515329514,51532951400035,SIRET,IT Services & Consulting,2024-11-10,3.942181340341656,2025-03-10,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,True,72.0,0,19.91,LogLogisticAFT
BOAMP:24-111919,SIRET:24850058900085,La Roche sur Yon Agglomération (85),521017848,24850058900085,SIRET,IT Services & Consulting,2024-10-04,3.942181340341656,2025-02-04,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,False,72.0,1,1.08,LogLogisticAFT
BOAMP:24-83533,SIRET:21850128600015,Ville de Luçon (85),,21850128600015,SIRET,IT Services & Consulting,2024-07-17,3.942181340341656,2024-11-17,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,False,72.0,0,23.72,LogLogisticAFT
BOAMP:24-83640,SIRET:80355563000018,Association E-TOILE,445400104,80355563000018,SIRET,IT Services & Consulting,2024-07-17,3.942181340341656,2024-11-17,0.048209784166628245,0.08314749471317617,Low,model-estimated recurrence probability,True,72.0,0,23.72,LogLogisticAFT
BOAMP:25-38470,SIRET:17440005100010,Département de Maine-et-Loire,224900019,17440005100010,SIRET,IT Services & Consulting,2025-04-06,4.0,2025-08-06,0.048196375252723245,0.08312521701799558,Low,model-estimated recurrence probability,False,72.0,0,15.08,LogLogisticAFT
BOAMP:25-57091,SIRET:23440003400026,Région des Pays de la Loire,234400034,23440003400026,SIRET,IT Services & Consulting,2025-05-22,4.0,2025-09-22,0.048196375252723245,0.08312521701799558,Low,model-estimated recurrence probability,False,72.0,0,13.57,LogLogisticAFT
BOAMP:25-45972,SIRET:23440003400026,Région des Pays de la Loire,234400034,23440003400026,SIRET,IT Services & Consulting,2025-04-24,4.0,2025-08-24,0.048196375252723245,0.08312521701799558,Low,model-estimated recurrence probability,False,72.0,0,14.49,LogLogisticAFT
BOAMP:22-153148,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,IT Services & Consulting,2022-11-19,5.0,2023-04-19,0.04819620134064817,0.08312492807585636,Low,model-estimated recurrence probability,False,72.0,0,43.63,LogLogisticAFT
BOAMP:21-11209,SIREN:180043010,Réseau Canopé,180043010,,SIREN_ENRICHED,IT Services & Consulting,2021-01-25,5.0,2021-06-25,0.048179512095675725,0.08309719976511587,Low,model-estimated recurrence probability,False,72.0,0,65.41,LogLogisticAFT
BOAMP:25-6053,SIREN:200014926,Territoire d'énergie Loire-Atlantique,200014926,,SIREN_ENRICHED,IT Services & Consulting,2025-01-19,6.0,2025-07-19,0.047727874233818746,0.0823465593228141,Low,model-estimated recurrence probability,False,72.0,0,17.61,LogLogisticAFT
BOAMP:25-73652,SIRET:24440055200026,Cté de Cnes du Pays d'Ancenis,,24440055200026,SIRET,IT Services & Consulting,2025-07-02,4.92772667542707,2025-12-02,0.047715710835194325,0.0823263361191845,Low,model-estimated recurrence probability,True,72.0,0,12.22,LogLogisticAFT
BOAMP:25-6327,SIRET:24440055200026,Cté de Cnes du Pays d'Ancenis,,24440055200026,SIRET,IT Services & Consulting,2025-01-19,4.92772667542707,2025-06-19,0.047715710835194325,0.0823263361191845,Low,model-estimated recurrence probability,True,72.0,1,5.39,LogLogisticAFT
BOAMP:25-49867,SIRET:24440040400129,Nantes metropole,,24440040400129,SIRET,IT Services & Consulting,2025-05-02,5.0,2025-10-02,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,1,2.89,LogLogisticAFT
BOAMP:25-48827,SIRET:24440040400129,Nantes metropole,,24440040400129,SIRET,IT Services & Consulting,2025-05-01,5.0,2025-10-01,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,1,2.92,LogLogisticAFT
BOAMP:25-51236,SIRET:24440040400129,Nantes metropole,,24440040400129,SIRET,IT Services & Consulting,2025-05-07,5.0,2025-10-07,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,1,2.73,LogLogisticAFT
BOAMP:25-70695,SIRET:24490001500011,Angers Loire Metropole (49),,24490001500011,SIRET,IT Services & Consulting,2025-06-25,5.0,2025-11-25,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,0,12.45,LogLogisticAFT
BOAMP:25-74706,SIRET:24440040400129,Nantes Métropole,794304097,24440040400129,SIRET,IT Services & Consulting,2025-07-03,5.0,2025-12-03,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,0,12.19,LogLogisticAFT
BOAMP:25-51463,SIRET:24440040400129,Nantes Métropole,794304097,24440040400129,SIRET,IT Services & Consulting,2025-05-08,5.0,2025-10-08,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,0,14.03,LogLogisticAFT
BOAMP:25-51370,SIRET:24440040400129,Nantes Métropole,794304097,24440040400129,SIRET,IT Services & Consulting,2025-05-08,5.0,2025-10-08,0.047678457084533,0.0822643946694398,Low,model-estimated recurrence probability,False,72.0,0,14.03,LogLogisticAFT
BOAMP:24-143443,SIRET:23440003400026,Région des Pays de la Loire,234400034,23440003400026,SIRET,IT Services & Consulting,2024-12-22,5.0,2025-05-22,0.047661938144918814,0.08223692766382451,Low,model-estimated recurrence probability,False,92.0,0,18.53,LogLogisticAFT
