contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:17-76729,BOAMP,NAME:dir interregionale sces penitentiaires,32.0,Telecom & Networks,2017-06-01,48.0,0,91.0,91.0,,,,PROCEDURE_ADAPTE,,True,2021-06-01,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-76616,BOAMP,NAME:nantes metropole,72.0,Cybersecurity,2017-06-03,48.0,1,48.72,,48.72,BOAMP:21-85842,,OUVERT,SERVICES,False,2021-06-03,publication_date,sentence_transformers,0.6196,0.329,0.6,True,0.9401,0,0,0,0.6196,0.6071,0.0125,26,False,False
BOAMP:17-77862,BOAMP,SIREN:234400034,34.0,Unknown,2017-10-04,12.0,1,11.89,,11.89,BOAMP:18-87166,,OUVERT,SERVICES,False,2018-10-04,attribution_award_date,sentence_transformers,0.5314,0.4579,0.0,True,0.991,0,0,0,0.5314,0.5085,0.0229,19,False,False
BOAMP:17-78402,BOAMP,SIREN:288500010,,Telecom & Networks,2017-06-06,48.0,1,46.19,,46.19,BOAMP:20-137315,,PROCEDURE_ADAPTE,,False,2021-06-06,publication_date,sentence_transformers,0.6532,0.4253,,False,0.8491,0,0,0,0.6532,0.5609,0.0923,2,False,False
BOAMP:17-78663,BOAMP,NAME:les quinconces l espal,32.0,Telecom & Networks,2017-06-06,48.0,0,90.83,90.83,,,,PROCEDURE_ADAPTE,,True,2021-06-06,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-79002,BOAMP,SIREN:198513905,32.0,Telecom & Networks,2017-06-07,48.0,1,41.33,,41.33,BOAMP:20-140005,,PROCEDURE_ADAPTE,,True,2021-06-07,publication_date,sentence_transformers,0.8873,0.9964,1.0,True,0.4439,0,0,0,0.8873,0.8826,0.0046999999999999,2,False,False
BOAMP:17-68985,BOAMP,NAME:nantes metropole,48.0,Software & Applications,2017-10-16,48.0,1,48.95,,48.95,BOAMP:21-150402,,OUVERT,SERVICES,False,2021-10-16,attribution_award_date,sentence_transformers,0.57,0.4645,0.2,True,0.9209,0,0,0,0.57,0.5558,0.0141999999999999,28,False,False
BOAMP:17-80207,BOAMP,SIREN:214402042,,Unknown,2017-06-08,48.0,1,52.76,,52.76,BOAMP:21-146075,,PROCEDURE_ADAPTE,,True,2021-06-08,publication_date,sentence_transformers,0.6479,0.5381,,False,0.6034,0,0,0,0.6479,,,1,True,False
BOAMP:17-80194,BOAMP,SIREN:935367433,72.0,IT Services & Consulting,2017-06-08,48.0,1,48.06,,48.06,BOAMP:21-77546,160000.0,PROCEDURE_ADAPTE,SERVICES,False,2021-06-08,publication_date,sentence_transformers,0.6087,0.2743,0.6,True,0.9949,0,0,0,0.6087,0.5664,0.0423,8,False,False
BOAMP:17-80573,BOAMP,SIREN:284400017,32.0,Telecom & Networks,2017-10-17,48.0,1,51.61,,51.61,BOAMP:22-17364,,OUVERT,SERVICES,False,2021-10-17,attribution_award_date,sentence_transformers,0.471,0.4529,0.0,True,0.6992,0,0,0,0.471,0.448,0.0229999999999999,4,False,False
