buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
NAME:rectorat de l academie de nantes,,Rectorat de l'Académie de Nantes,BOAMP,,,
NAME:reseau canope,,Réseau Canopé,BOAMP,,,
NAME:residences saint alexandre,,RESIDENCES SAINT ALEXANDRE,BOAMP,,,
NAME:reze,,Ville de Rezé,BOAMP,,,
NAME:saint herblain,,Commune de Saint-Herblain,BOAMP,,,
NAME:saint nazaire,,Commune de Saint-Nazaire,BOAMP,,,
NAME:saint saturnin,,MAIRIE DE SAINT SATURNIN,BOAMP,,,
NAME:saint sebastien sur loire,,Ville de Saint Sébastien sur Loire,BOAMP,,,
NAME:sarthe habitat,,Sarthe Habitat,BOAMP,,,
NAME:sdegm,,SDEGM,BOAMP,,,
NAME:sdis49,,SDIS49,BOAMP,,,
NAME:sec gal pour l adm min interieur ouest,,SEC GAL POUR L ADM MIN INTERIEUR OUEST,BOAMP,,,
NAME:sem cenovia,,SEM CENOVIA,BOAMP,,,
NAME:semitan,,SEMITAN,BOAMP,,,
NAME:semitan mandataire de la cun,,"SEMITAN, mandataire de la CUN",BOAMP,,,
NAME:semitan mandataire de nantes metropole,,SEMITAN mandataire de Nantes Métropole,BOAMP,,,
NAME:sgami ouest,,SGAMI OUEST,BOAMP,,,
NAME:sictiam,,SICTIAM,BOAMP,,,
NAME:smictom de la vallee de l authion,,SMICTOM de la Vallée de l'Authion,BOAMP,,,
NAME:soc publique reg abe de fontevraud,,SOC PUBLIQUE REG ABE DE FONTEVRAUD,BOAMP,,,
NAME:societe publique regionale abbaye de fontevraud,443928874,SOCIETE PUBLIQUE REGIONALE ABBAYE DE FONTEVRAUD,BOAMP,,,
NAME:spl eau du bassin rennais,,SPL EAU DU BASSIN RENNAIS,BOAMP,,,
NAME:spr pays de la loire,,SPR Pays de la Loire,BOAMP,,,
NAME:sydela,,SYDELA,BOAMP,,,
NAME:syndicat departemental d energie,,Syndicat Départemental d'Energie,BOAMP,,,
NAME:syndicat mixte gigalis,,SYNDICAT MIXTE GIGALIS,BOAMP,,,
NAME:syndicat mixte sarthe numerique,,"Syndicat Mixte "" Sarthe Numérique """,BOAMP,,,
NAME:syndicat trivalis,,Syndicat Trivalis,BOAMP,,,
NAME:thouare sur loire,,Ville de Thouaré-sur-Loire,BOAMP,,,
NAME:ubs,,UBS,BOAMP,,,
NAME:universite d angers,,Université d'Angers,BOAMP,,,
NAME:vallons de l erdre,,Commune de VALLONS-DE-L'ERDRE,BOAMP,,,
