idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
17-21716,2017-02-16,2017-03-17,,Vendée Expansion,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),services d'hébergement de sites internet et prestations connexes,OCEANET TECHNOLOGY,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-21716,legacy,72500000,72500000|None,,85005,La Roche sur Yon,26112.0,,,2017-02-03,2016-11-23
17-16256,2017-02-02,2017-03-02,2017-03-03T11:00:00+00:00,Inst. Interdpt bassin Sèvre Niortaise,85|79|17,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Automatisation|Barrage|Métallerie|Ouvrage hydraulique|Télégestion,Modernisation des 2 barrages hydrauliques,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-16256,legacy,45248000,45248000|45246000|48921000,,79028,Niort cedex,,,,,
17-22650,2017-02-17,2017-03-15,,Chambre Agriculture Pays de la Loire,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Réseaux divers,Le marché public a pour objet la fourniture de services d'interconnexion des sites avec la fourniture limitée d'accessoires pour les besoins de la Chambre d'agriculture des Pays de la L,SERVEURCOM,16-151998,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-22650,legacy,64200000,64200000|72400000,,49105,ANGERS,354624.0,,,2017-01-02,
17-15684,2017-02-03,2017-03-06,2017-03-06T11:00:00+00:00,Commune de Saint-Nazaire,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Prestations de services,17s0004 - distribution du journal municipal de la ville de saint-nazaire,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-15684,legacy,72512000,72512000,,44606,Saint-Nazaire Cedex,,,,,
17-29439,2017-03-01,2017-05-02,,Ville de Carquefou,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),Maintenance et extension du système de téléphonie (traditionnelle et sur IP) et du réseau informatique,CTV Nantes|TDO,16-151887,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-29439,legacy,32522000,32522000,,44471,Carquefou Cedex,,,,2017-02-01,
17-20659,2017-02-10,2017-03-01,2017-03-01T11:00:00+00:00,SDIS 85,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Assistance à maîtrise d'ouvrage,Assistance à maîtrise d'ouvrage pour les systèmes d'information du SDIS de la Vendée,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-20659,legacy,72000000,72000000,,85017,LA ROCHE SUR YON Cedex,200000.0,,,,
17-18226,2017-03-03,2017-06-01,,Conseil départemental de la Mayenne,53,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Dématérialisation|Informatique (matériel)|Informatique (prestations de services)|Progiciel|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),modernisation des moyens de communication,,16-105530|16-111578|16-137618,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-18226,legacy,32523000,32523000|None,,53014,Laval cedex,,,,,2016-07-16
17-19962,2017-02-11,2017-03-14,,Ecole Centrale de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,"Vidéo, cinéma","fourniture, installation, mise en service d'une caméra ultra-rapide pour l'ecole centrale de nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-19962,legacy,32323300,32323300,,,Nantes,,12.0,DUREE_MOIS,,
17-30238,2017-03-04,2017-03-12,,Département de la Vendée,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel|Maintenance,"Maintenance, prestations spécifiques et fournitures associées aux outils Business Objects et Alfresco",Cosmos Consulting|Smile,16-130215,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-30238,legacy,72267000,72267000|None,,85923,La Roche Sur Yon,742113.0,,,2017-02-08,
17-19635,2017-02-11,2017-03-09,,Mairie du croisic,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,TRAVAUX,5|1|,Espaces verts|Réseaux divers|Voirie,AMENAGEMENT DU LOTISSEMENT DU PUIGAUDEAU 2. Le Croisic,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-19635,legacy,32400000,32400000|90611000|45112710,,44490,Le Croisic,,1.0,DUREE_MOIS,,
17-31074,2017-03-08,2017-05-05,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),"Maintenance corrective, adaptative, reglementaire et évolutive du progiciel Qbloc",Dotnext,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-31074,legacy,72267000,72267000|72260000,,44093,Nantes,342250.0,,,2017-02-14,
17-20825,2017-02-12,2017-03-31,,CH LE MANS,72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Matériel de téléphonie,"Téléphonie - mise à niveau, extension, formation et maintenance du réseau de téléphonie Alcatel Lucent Oxe",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-20825,legacy,32545000,32545000|None,,72037,Le mans cedex 09,,48.0,DUREE_MOIS,,
17-18240,2017-03-08,2017-06-06,,Conseil départemental de la Mayenne,53,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Dématérialisation|Informatique (matériel)|Informatique (prestations de services)|Progiciel|Informatique (maintenance serveurs et réseaux),modernisation des moyens de communication,NEXTO FRANCE,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-18240,legacy,32523000,32523000,,53000,LAVAL,540272.32,,,2016-12-19,
17-23389,2017-02-16,2017-03-15,2017-03-15T11:00:00+00:00,Loire Ocean developpement,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Assainissement|Espaces verts|Réseaux divers|Signalétique|Terrassement|Travaux de viabilité|Voirie,travaux d'aménagement de la zac du verger à carquefou (44),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-23389,legacy,45113000,45113000|None|32400000|45112700,,44821,Saint-Herblain cédex,,9.0,DUREE_MOIS,,
17-33863,2017-03-12,2017-04-10,,CAF de la Somme,80|31|33|72|93,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (prestations de services),Dispositif matériel et logiciel de courrier industriel unifié,KERN FRANCE SAS,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-33863,legacy,72212311,72212311,,80000,Amiens,,,,2017-03-09,
17-22230,2017-02-16,2017-03-20,,Commune de Saint-Herblain,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Matériel de sécurité,Installation et maintenance des dispositifs de télésurveillance des équipements municipaux de la Ville de Saint-Herblain,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-22230,legacy,35120000,35120000|None,,44802,Saint-herblain cedex,,12.0,DUREE_MOIS,,
17-36486,2017-03-17,2017-05-14,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),MAINTENANCE DE LA SUITE PROGICIELLE AMEDIM,Société Maincare Solutions,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-36486,legacy,72267100,72267100,,44093,Nantes cedex,153628.0,,,2016-12-21,
17-23490,2017-02-18,2017-03-31,,CHD VENDEE,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Informatique (prestations de services)|Logiciel,"FOURNITURE, INSTALLATION, ACCOMPAGNEMENT, MISE EN OeUVRE ET MAINTENANCE D'UNE SOLUTION DE GESTION DES CANDIDATURES",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-23490,legacy,48000000,48000000|None,,85925,La roche sur yon cedex 9,,12.0,DUREE_MOIS,,
18-265,2018-01-02,2018-02-05,2018-02-05T12:00:00+00:00,Conseil régional des Pays de la Loire,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,"Vidéo, cinéma",Réalisation de Vidéos 360° et location de supports de diffusion,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-265,legacy,32354500,32354500,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
