uid,id,nature,objet,codeCPV,procedure,dureeMois,dateNotification,datePublicationDonnees,montant,offresRecues,donneesActuelles,sourceDataset,acheteur_id,acheteur_nom,acheteur_departement_code,acheteur_categorie,titulaire_id,titulaire_typeIdentifiant,titulaire_nom,lieuExecution_code,lieuExecution_typeCode
2672001600001320202020T1629700,20202020T1629700,ACCORD-CADRE,"Installation Fixe d’Extinction Automatique à Gaz pour le CHM, l’EPSM et le CH du Lude",35111500,Appel d'offres ouvert,36.0,2020-10-15,2020-10-15,171229.0,,True,aife_dume,26720016000013,HOPITAL LE MANS,72,Établissement hospitalier,32774433000058,SIRET,DETECTION ELECTRONIQUE FRANCAISE OUEST,72,CODE DEPARTEMENT
284400017000182020wHbT1qAIud00,2020wHbT1qAIud00,ACCORD-CADRE,"SDIS44- AOO INTRUSION - GBI - GD-Acquisition, pose et maintenance d’équipements de contrôles d’accès et d’intrusion portant sur les différents sites du SDIS de Loire Atlantique",35120000,Appel d'offres ouvert,48.0,2020-10-15,2020-10-30,50000.0,,True,aife_dume,28440001700018,SCE DEPARTEMENTAL INCENDIE ET SECOURS,44,,32802398100041,SIRET,EL 2D (E L 2 D),44,CODE DEPARTEMENT
1944098430001920202020S1667500,20202020S1667500,ACCORD-CADRE,Organisation du concours de la PACES et des examens du PASS (Parcours d’accès santé spécifique) 2020-2023 de l’Université de Nantes,72312200,Procédure adaptée,36.0,2020-10-14,2020-10-14,100000.0,,True,aife_dume,19440984300019,UNIVERSITE DE NANTES,44,,85190116500015,SIRET,GEDIVOTE,44,CODE DEPARTEMENT
2272000290001420202034800,20202034800,Accord-cadre,Prestations diverses CAP DEMAT EVOLUTION,72267100,Procédure adaptée,48.0,2020-10-14,2020-10-21,210000.0,,True,aws_marches-publics.info_legacy,22720002900014,DEPARTEMENT DE LA SARTHE,72,Département,80275033100042,SIRET,LANTEAS,72,Code département
2444006100005520202007900,20202007900,Accord-cadre,MPA20079_GEST_INTER_STOC_PARC_AUTO_FESTI,48000000,Procédure adaptée,48.0,2020-10-14,2020-10-30,120000.0,,True,aws_marches-publics.info_legacy,24440061000055,COMMUNAUTE D'AGGLOMERATION DE LA PRESQU'ILE DE GUERANDE ATLANTIQUE,44,Groupement de communes,75580064600373,SIRET,BERGER LEVRAULT,44055,Code commune
1844012890002220202020S2285300,20202020S2285300,ACCORD-CADRE,Marché pour la dématérialisation du process RH,48450000,Procédure adaptée,48.0,2020-10-12,2020-10-12,24820.0,,True,aife_dume,18440128900022,CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PAYS DE LA LOIRE,44,,49989804700059,SIRET,PEOPLEDOC,44,CODE DEPARTEMENT
31468496000045202019M9227800,202019M9227800,Marché,Renouvellement du SAE Tramway,48140000,Dialogue compétitif,96.0,2020-10-08,2020-10-22,6625479.63,,True,aws_marches-publics.info_legacy,31468496000045,STE D'ECONOMIE MIXTE DES TRANSPORTS EN COMMUN DE L'AGGLOMERATION NANTAISE SEMITAN,44,,40107793800025,SIRET,NAVOCAP,44,Code arrondissement
1949097010030320202020F2458100,20202020F2458100,MARCHE SUBSEQUENT,"Le présent marché subséquent concerne l’installation d’écrans, de vidéoprojecteur et de matériels complémentaires",32321300,,36.0,2020-10-07,2020-10-07,6345.83,,True,aife_dume,19490970100303,UNIVERSITE D'ANGERS,49,,87755703300017,SIRET,ELACOM,49,CODE DEPARTEMENT
228500013006582020202020026900,2020202020026900,Marché subséquent,Acquisition et prestation de mise en oeuvre et maintenance d’un logiciel de gestion foncière,72262000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-10-07,2020-11-27,71763.9,,True,aws_marches-publics.info_legacy,22850001300658,DEPARTEMENT DE VENDEE,85,Département,35028626600043,SIRET,SCRIBE IS,85000,Code postal
2672001600001320202020F1544800,20202020F1544800,ACCORD-CADRE,Mise en œuvre d’un catalogue de service et de matériel en vue de l’évolution de l’infrastructure serveur hyper convergence et de sa sécurisation pour le CH de La Ferté Bernard,48210000,Appel d'offres ouvert,48.0,2020-10-07,2020-10-07,268000.0,,True,aife_dume,26720016000013,HOPITAL LE MANS,72,Établissement hospitalier,41010074700048,SIRET,CIS VALLEY,72,CODE DEPARTEMENT
284400017000182020ibzuuL7gBD00,2020ibzuuL7gBD00,ACCORD-CADRE,"SDIS44-MANNEQUINS.FORMATION-LOG-RR-Lot 2 : Mannequins pour la formation au sauvetage terrestre, pièces détachées, accessoires et consommables",35112100,Procédure adaptée,24.0,2020-10-07,2021-05-10,20000.0,,True,aife_dume,28440001700018,SCE DEPARTEMENTAL INCENDIE ET SECOURS,44,,54722013700012,SIRET,DUMONT SECURITE,44,CODE DEPARTEMENT
224400028000112020I172AMS1100,2020I172AMS1100,Marché subséquent,CGI AMOA MISE EN OEUVRE PRJTS NUMERIQUES,72600000,Appel d'offres ouvert,4.0,2020-10-02,2020-10-12,95000.0,,True,aws_marches-publics.info_legacy,22440002800011,DEPARTEMENT DE LA LOIRE-ATLANTIQUE,44,Département,70204275500109,SIRET,CGI FRANCE,DEP,Code commune
2672001600001320202020F1544700,20202020F1544700,MARCHE,Acquisition du module d’Interface (connecteur) pour l’application CHIMIO avec l’automate de gestion de contrôle de la préparation des chimiothérapies (solution DRUGCAM) - dans le cadre du GHT72,48611000,,12.0,2020-10-01,2020-10-01,10000.0,,True,aife_dume,26720016000013,HOPITAL LE MANS,72,Établissement hospitalier,38195484100031,SIRET,COMPUTER ENGINEERING,72,CODE DEPARTEMENT
200069474000192020000000020000,2020000000020000,Marché,Fourniture défibrillateurs automatisés externes et prestatio,35112000,Procédure adaptée,48.0,2020-09-30,2020-10-30,180000.0,,True,aws_marches-publics.info_legacy,20006947400019,COMMUNE DE OMBREE D'ANJOU (MAIRIE),49,Commune,50034216700060,SIRET,D-SECURITE GROUPE (D-SECURITE LEASE / D-FIBRILLATEUR / QUALIT'AIR / DEFIBRILLATEUR FRANCE),49420,Code postal
21440015200051202074134300,202074134300,Marché,Marché de fourniture de stockage informatique - marché relancé suite à déclaration sans suite,48822000,Procédure adaptée,1.0,2020-09-30,2020-10-12,48984.0,,True,e-marchespublics.com_dematis,21440015200051,COMMUNE DE BLAIN (MAIRIE),44,Commune,45079749300035,SIRET,PROSELIS,44130,Code postal
21440132500011202074236500,202074236500,Accord-cadre,FOURNITURE D’UN SERVICE HOTSPOT WIFI PUBLIC,72700000,Procédure adaptée,25.0,2020-09-30,2020-10-15,12000.0,,True,e-marchespublics.com_dematis,21440132500011,COMMUNE DE PORNICHET (MAIRIE),44,Commune,44206920900041,SIRET,QOS TELECOM,44380,Code postal
214401846000162020041610MV00,2020041610MV00,Accord-cadre,FOURNITURE D UN SERVICE DE HOTSPOT WIFI GROUPEMENT DE COMMANDE,72700000,Procédure adaptée,49.0,2020-09-30,2020-10-26,249999.99,,True,aws_marches-publics.info_legacy,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,44206920900041,SIRET,QOS TELECOM,44184,Code commune
225300011000152020015100,2020015100,Marché,PRESTAT. MAINT. ASSIST. LOGICIEL GTS ,72267100,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-09-30,2020-10-06,66000.0,,True,aws_marches-publics.info_legacy,22530001100015,DEPARTEMENT DE LA MAYENNE,53,Département,34367083200108,SIRET,VIVATICKET (IREC),53,Code département
228500013006582020202020019900,2020202020019900,Marché,"Acquisition d’une plateforme technique collaborative de recherche, d’enrichissement et de diffusion de ressources documentaires pour les archives départementales de la Vendée",72262000,Marché négocié sans publicité ni mise en concurrence préalable,48.0,2020-09-30,2020-12-18,93750.0,,True,aws_marches-publics.info_legacy,22850001300658,DEPARTEMENT DE VENDEE,85,Département,41754435000065,SIRET,INMEDIA TECHNOLOGIES (BIBLIOMONDO FRANCE),85000,Code postal
