contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:18-171623,BOAMP,NAME:le mans,32.0,Telecom & Networks,2018-12-10,48.0,0,72.7,72.7,,,,PROCEDURE_ADAPTE,,True,2022-12-10,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-173792,BOAMP,SIREN:254901309,48.0,Software & Applications,2018-12-13,48.0,0,72.6,72.6,,,,PROCEDURE_ADAPTE,,True,2022-12-13,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-173960,BOAMP,NAME:cnieg,72.0,IT Services & Consulting,2018-12-15,24.0,1,21.22,,21.22,BOAMP:20-64610,,OUVERT,SERVICES,False,2020-12-14,publication_date,calibrated_rule,0.5076,0.5007,0.2,True,0.5367,0,0,0,0.5076,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:18-174875,BOAMP,NAME:nantes metropole,72.0,IT Services & Consulting,2018-12-18,48.0,1,50.85,,50.85,BOAMP:23-34854,,PROCEDURE_ADAPTE,SERVICES,False,2022-12-18,publication_date,calibrated_rule,0.6416,0.8415,0.2,True,0.525,0,0,0,0.6416,0.5361,0.1055,3,False,False,balanced,calibrated_balanced,0
BOAMP:18-177619,BOAMP,NAME:ville du mans,72.0,IT Services & Consulting,2019-02-27,9.0,0,70.11,70.11,,,,PROCEDURE_ADAPTE,SERVICES,False,2019-11-27,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-175843,BOAMP,NAME:gie des epl de vendee,72.0,IT Services & Consulting,2019-03-20,12.0,0,69.42,69.42,,,,OUVERT,SERVICES,False,2020-03-19,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-177187,BOAMP,NAME:gie des epl de vendee,72.0,IT Services & Consulting,2019-06-12,12.0,0,66.66,66.66,,,,OUVERT,SERVICES,False,2020-06-11,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-177300,BOAMP,SIREN:214401317,51.0,Unknown,2018-12-22,24.0,0,72.31,72.31,,,,OUVERT,SERVICES,False,2020-12-21,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-179065,BOAMP,NAME:agce pour l enst fr a l etranger,72.0,IT Services & Consulting,2019-03-25,48.0,0,69.25,69.25,,,800000.0,OUVERT,FOURNITURES,False,2023-03-25,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-180161,BOAMP,NAME:ctre hosp universitaire angers,32.0,Telecom & Networks,2019-03-08,12.0,0,69.81,69.81,,,,OUVERT,FOURNITURES,False,2020-03-07,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:18-173397,BOAMP,NAME:syndicat trivalis,,Data & AI,2018-12-26,48.0,0,72.17,72.17,,,,PROCEDURE_ADAPTE,TRAVAUX,True,2022-12-26,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-3707,BOAMP,NAME:le mans,48.0,Software & Applications,2019-01-09,36.0,1,37.98,,37.98,BOAMP:21-139293,,PROCEDURE_ADAPTE,FOURNITURES,False,2022-01-08,publication_date,calibrated_rule,0.5969,0.6573,0.2,True,0.67,0,0,0,0.5969,0.5832,0.0137,3,False,False,balanced,calibrated_balanced,0
BOAMP:19-1779,BOAMP,SIREN:234400034,72.0,Digital Workplace & Collaboration,2019-05-14,12.0,0,67.61,67.61,,,,OUVERT,SERVICES,False,2020-05-13,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-3078,BOAMP,SIREN:200083392,45.0,Unknown,2019-01-10,22.0,0,71.68,71.68,,,,OUVERT,TRAVAUX,False,2020-11-09,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-2530,BOAMP,NAME:ctre national d enst a distance,72.0,Cybersecurity,2019-01-10,12.0,0,71.68,71.68,,,,OUVERT,SERVICES,False,2020-01-10,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-8964,BOAMP,SIREN:227200029,72.0,IT Services & Consulting,2019-01-17,48.0,1,44.51,,44.51,BOAMP:22-77622,,PROCEDURE_ADAPTE,SERVICES,True,2023-01-17,publication_date,calibrated_rule,0.542,0.6458,0.2,True,0.4183,0,0,0,0.542,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:19-8916,BOAMP,SIREN:244900015,48.0,Software & Applications,2019-01-17,12.0,0,71.45,71.45,,,208999.0,PROCEDURE_ADAPTE,SERVICES,False,2020-01-17,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-9782,BOAMP,NAME:com d agglo reg nazairienne estuaire,72.0,IT Services & Consulting,2019-01-18,12.0,0,71.42,71.42,,,,PROCEDURE_ADAPTE,SERVICES,False,2020-01-18,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-7404,BOAMP,SIREN:130001704,72.0,IT Services & Consulting,2020-06-04,12.0,0,54.89,54.89,,,,OUVERT,FOURNITURES,False,2021-06-04,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-8820,BOAMP,NAME:agce pour l enst fr a l etranger,72.0,IT Services & Consulting,2019-06-25,24.0,0,66.23,66.23,,,350000.0,RESTREINT,SERVICES,False,2021-06-24,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-10579,BOAMP,SIREN:532458809,35.0,Cybersecurity,2019-01-21,48.0,0,71.32,71.32,,,208000.0,PROCEDURE_ADAPTE,FOURNITURES,False,2023-01-21,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-10428,BOAMP,SIREN:228500013,35.0,Cybersecurity,2019-05-16,12.0,0,67.54,67.54,,,,OUVERT,FOURNITURES,False,2020-05-15,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-12872,BOAMP,NAME:communaute d agglomeration du niortais,48.0,Software & Applications,2019-01-24,48.0,0,71.22,71.22,,,,PROCEDURE_ADAPTE,SERVICES,False,2023-01-24,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-13483,BOAMP,NAME:oniris,48.0,Software & Applications,2020-04-02,8.0,0,56.96,56.96,,,,DIALOGUE_COMPETITIF,SERVICES,False,2020-12-01,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-16528,BOAMP,NAME:cdc du pays de saint gilles cx de vie,71.0,Unknown,2019-01-31,36.0,0,70.99,70.99,,,,PROCEDURE_ADAPTE,,False,2022-01-30,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-15670,BOAMP,NAME:ctre hosp universitaire angers,72.0,IT Services & Consulting,2019-07-30,48.0,0,65.08,65.08,,,,OUVERT,SERVICES,False,2023-07-30,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-16942,BOAMP,NAME:nantes metropole,72.0,IT Services & Consulting,2019-04-29,48.0,0,68.1,68.1,,,,OUVERT,SERVICES,False,2023-04-29,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-17531,BOAMP,SIREN:409104007,32.0,Telecom & Networks,2019-05-09,6.0,0,67.77,67.77,,,,OUVERT,FOURNITURES,False,2019-11-07,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-17058,BOAMP,SIREN:234400034,72.0,IT Services & Consulting,2019-05-24,12.0,0,67.28,67.28,,,,OUVERT,SERVICES,False,2020-05-23,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-15197,BOAMP,NAME:syndicat trivalis,,Unknown,2019-02-04,48.0,0,70.86,70.86,,,,PROCEDURE_ADAPTE,TRAVAUX,True,2023-02-04,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-18202,BOAMP,SIREN:219300779,35.0,Cybersecurity,2019-02-04,48.0,0,70.86,70.86,,,,PROCEDURE_ADAPTE,SERVICES|FOURNITURES,False,2023-02-04,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-18263,BOAMP,SIREN:227200029,72.0,IT Services & Consulting,2019-07-30,12.0,0,65.08,65.08,,,,NEGOCIE,SERVICES,False,2020-07-29,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-17307,BOAMP,SIREN:214401093,44.0,Unknown,2019-02-06,48.0,0,70.8,70.8,,,,OUVERT,FOURNITURES,False,2023-02-06,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-21370,BOAMP,NAME:esat foyers,48.0,Cloud & Infrastructure,2019-02-08,60.0,0,70.73,70.73,,,,PROCEDURE_ADAPTE,FOURNITURES,False,2024-02-08,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-21081,BOAMP,SIREN:214900201,32.0,Telecom & Networks,2019-03-27,24.0,0,69.19,69.19,,,465000.0,OUVERT,FOURNITURES,False,2021-03-26,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-22390,BOAMP,NAME:agrocampus ouest,48.0,Software & Applications,2019-05-21,24.0,0,67.38,67.38,,,140000.0,OUVERT,SERVICES,False,2021-05-20,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-22007,BOAMP,NAME:smictom de la vallee de l authion,45.0,Unknown,2019-02-13,9.0,0,70.57,70.57,,,,OUVERT,TRAVAUX,False,2019-11-13,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-21908,BOAMP,SIREN:935367433,35.0,Cybersecurity,2019-02-13,12.0,0,70.57,70.57,,,2400000.0,RESTREINT,FOURNITURES,False,2020-02-13,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-27651,BOAMP,NAME:comm comm de doue la fontaine,48.0,Software & Applications,2019-02-20,48.0,0,70.34,70.34,,,,PROCEDURE_ADAPTE,FOURNITURES,True,2023-02-20,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-28845,BOAMP,SIREN:225300011,72.0,Digital Workplace & Collaboration,2019-02-21,48.0,0,70.3,70.3,,,,PROCEDURE_ADAPTE,SERVICES,False,2023-02-21,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-33752,BOAMP,NAME:chbr reg metiers artisanat nouv aquit,72.0,IT Services & Consulting,2019-03-01,48.0,0,70.04,70.04,,,,OUVERT,SERVICES,True,2023-03-01,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-32405,BOAMP,SIREN:234400034,35.0,Cybersecurity,2019-06-27,12.0,0,66.16,66.16,,,,OUVERT,SERVICES,False,2020-06-26,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-34598,BOAMP,NAME:gpm de nantes st nazaire,72.0,IT Services & Consulting,2019-03-05,48.0,1,48.85,,48.85,BOAMP:23-42045,,PROCEDURE_ADAPTE,SERVICES,True,2023-03-05,publication_date,calibrated_rule,0.5389,0.5431,0.0,True,0.8583,0,0,0,0.5389,0.5051,0.0338,2,False,False,balanced,calibrated_balanced,0
BOAMP:19-34512,BOAMP,SIREN:110006012,32.0,Telecom & Networks,2019-03-06,6.0,0,69.88,69.88,,,,OUVERT,SERVICES,False,2019-09-04,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-35566,BOAMP,SIREN:244900015,72.0,IT Services & Consulting,2019-03-07,48.0,0,69.84,69.84,,,,PROCEDURE_ADAPTE,SERVICES,True,2023-03-07,publication_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-35540,BOAMP,SIREN:224900019,72.0,Cybersecurity,2019-07-03,30.0,0,65.97,65.97,,,,OUVERT,SERVICES,False,2022-01-01,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-37169,BOAMP,NAME:ctre hosp universitaire angers,32.0,Telecom & Networks,2019-05-01,12.0,1,13.3,,13.3,BOAMP:20-6008,,OUVERT,FOURNITURES,False,2020-04-30,attribution_award_date,calibrated_rule,0.5345,0.5695,0.0,True,0.7833,0,0,0,0.5345,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:19-36958,BOAMP,NAME:nantes metropole,72.0,Cybersecurity,2019-05-29,48.0,1,52.04,,52.04,BOAMP:23-37068,,OUVERT,SERVICES,False,2023-05-29,attribution_award_date,calibrated_rule,0.5459,0.5764,0.4,True,0.3267,0,0,0,0.5459,,,1,True,False,balanced,calibrated_balanced,0
BOAMP:19-39464,BOAMP,NAME:universite du maine,64.0,Cybersecurity,2019-06-19,12.0,0,66.43,66.43,,,,OUVERT,SERVICES,False,2020-06-18,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
BOAMP:19-39750,BOAMP,NAME:gpm de nantes st nazaire,32.0,Telecom & Networks,2019-11-05,48.0,0,61.86,61.86,,,,NEGOCIE,FOURNITURES,True,2023-11-05,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,balanced,calibrated_balanced,1
