buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
Chambre Agriculture Pays de la Loire,chambre agriculture pays de la loire,NAME:chambre agriculture pays de la loire,49,ANGERS,49105,2,1,False,
C.H.S. de la Sarthe,c h s de la sarthe,NAME:c h s de la sarthe,72,Allonnes Cedex,72703,1,1,False,
E.C.A.S. gendarmerie nationale,e c a s gendarmerie nationale,NAME:e c a s gendarmerie nationale,36,Le blanc,36300,1,1,False,
S.I. d' énergies de Maine et Loire,s i d energies de maine et loire,NAME:s i d energies de maine et loire,49,Angers cedex 1,49001,1,0,False,
Commune des Herbiers,commune des herbiers,NAME:commune des herbiers,85,Les Herbiers,85502,3,2,False,
Centre Hospitalier Loire Vendée Océan,loire vendee ocean,NAME:loire vendee ocean,85,Challans Cedex,85302,1,1,False,
Cté de Communes du Pays des Herbiers,cte de communes du pays des herbiers,NAME:cte de communes du pays des herbiers,85,Les Herbiers,85504,5,3,False,
Ecole des Mines de Nantes,ecole des mines de nantes,NAME:ecole des mines de nantes,44,Nantes,44307,2,1,False,
SDIS 44,44,NAME:44,44,La chapelle sur erdre,44243,31,19,False,
INRA Angers Nantes,inra angers nantes,NAME:inra angers nantes,44,NANTES,44316,2,1,False,
MONTREVAULT-SUR-ÈVRE,montrevault sur evre,NAME:montrevault sur evre,49,Montrevault-sur-Èvre Cedex,49117,3,3,False,
Conseil départemental de la Mayenne,de la mayenne,NAME:de la mayenne,53,Laval cedex,53014,15,5,False,
Cté Cnes Coeur d'Estuaire,cte cnes coeur d estuaire,NAME:cte cnes coeur d estuaire,44,Saint Etienne de Montluc,44360,4,2,False,
DREAL Pays de la Loire,dreal pays de la loire,NAME:dreal pays de la loire,44,NANTES Cedex 2,44263,1,1,False,
Département de la Vendée,la vendee,NAME:la vendee,85,La Roche Sur Yon,85923,72,29,True,443928874
MINDEF/DGA/DO/S2A,mindef dga do s2a,NAME:mindef dga do s2a,18,Bourges,18021,3,2,False,
Laval Agglomération,laval agglomeration,NAME:laval agglomeration,53,Laval cedex,53008,9,6,False,
Hopital Intercommunal Sèvre et Loire,hopital intercommunal sevre et loire,NAME:hopital intercommunal sevre et loire,44,Vertou,44122,2,1,False,
Centre Hospitalier de Saint-Nazaire,de saint nazaire,NAME:de saint nazaire,44,Saint Nazaire,44600,3,2,False,
CCI de Maine et Loire,cci de maine et loire,NAME:cci de maine et loire,49,ANGERS,49006,3,2,False,
COMSOPGN,comsopgn,NAME:comsopgn,72,LE BLANC,36300,5,2,False,
Cour d'Appel de Rennes,cour d appel de rennes,NAME:cour d appel de rennes,22,Rennes cedex,35011,1,1,False,
CCAS d'Angers,ccas d angers,NAME:ccas d angers,49,Angers,49020,1,1,False,
CAF de la Somme,caf de la somme,NAME:caf de la somme,80,Amiens,80000,3,2,False,
