buyer_name_raw,buyer_name_clean,buyer_key,buyer_key_enriched,enriched_siren,enriched_siret,enriched_name,enrichment_score,enrichment_confidence,enrichment_source,enrichment_status,diagnostic,n_candidates,margin
CDC du Pays de Saint Gilles Cx de Vie,cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
VALLET,vallet,NAME:vallet,NAME:vallet,,,,68.0,LOW,api_recherche_entreprises,matched,score=68.0 (below MEDIUM threshold),10,12.0
CCIR Pays de la Loire,ccir pays de la loire,NAME:ccir pays de la loire,NAME:ccir pays de la loire,,,,54.9,NO_MATCH,api_recherche_entreprises,no_match,score=54.9 (below LOW threshold),1,
Conseil général de Loire-Atlantique,conseil general de loire atlantique,NAME:conseil general de loire atlantique,NAME:conseil general de loire atlantique,,,,70.7,MEDIUM,api_recherche_entreprises,matched,score=70.7 (below HIGH threshold or margin too small),1,
Vendée Eau,vendee eau,NAME:vendee eau,SIREN:258500222,258500222,25850022200033,VENDEE EAU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=50.3",10,50.3
Pole Santé Sarthe et Loire,pole sante sarthe et loire,NAME:pole sante sarthe et loire,NAME:pole sante sarthe et loire,,,,35.3,NO_MATCH,api_recherche_entreprises,no_match,score=35.3 (below LOW threshold),1,
DIR Ouest,dir ouest,NAME:dir ouest,NAME:dir ouest,,,,40.7,NO_MATCH,api_recherche_entreprises,no_match,score=40.7 (below LOW threshold),2,15.7
Ville de Saint Sébastien sur Loire,saint sebastien sur loire,NAME:saint sebastien sur loire,SIREN:214401903,214401903,21440190300155,COMMUNE DE SAINT-SEBASTIEN-SUR-LOIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Syndicat Départemental d'Energie,syndicat departemental d energie,NAME:syndicat departemental d energie,NAME:syndicat departemental d energie,,,,71.6,MEDIUM,api_recherche_entreprises,matched,score=71.6 (below HIGH threshold or margin too small),4,35.7
Université d'Angers,universite d angers,NAME:universite d angers,SIREN:194909701,194909701,19490970100303,UNIVERSITE D'ANGERS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
O.P.H LE MANS HABITAT,o p h le mans habitat,NAME:o p h le mans habitat,NAME:o p h le mans habitat,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
e-Collectivités Vendée,e collectivites vendee,NAME:e collectivites vendee,NAME:e collectivites vendee,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
GPM de Nantes - St Nazaire,gpm de nantes st nazaire,NAME:gpm de nantes st nazaire,NAME:gpm de nantes st nazaire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SAEM Vendée,saem vendee,NAME:saem vendee,NAME:saem vendee,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CG49,cg49,NAME:cg49,NAME:cg49,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
GIE SESAM Vitale,gie sesam vitale,NAME:gie sesam vitale,SIREN:391722881,391722881,39172288100052,GIE SESAM VITALE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Centre Hospitalier du Haut Anjou,du haut anjou,NAME:du haut anjou,SIREN:265300087,265300087,26530008700011,CENTRE HOSPITALIER DU HAUT ANJOU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=26.8",10,26.8
ADEME,ademe,NAME:ademe,NAME:ademe,,,,28.8,NO_MATCH,api_recherche_entreprises,no_match,score=28.8 (below LOW threshold),10,-50.6
CH LE MANS,le mans,NAME:le mans,NAME:le mans,,,,37.3,NO_MATCH,api_recherche_entreprises,no_match,score=37.3 (below LOW threshold),10,-4.2
Centre hospitalier de Saumur,de saumur,NAME:de saumur,SIREN:264900523,264900523,26490052300012,CENTRE HOSPITALIER DE SAUMUR,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=9, margin=45.9",9,45.9
Concarneau Cornouaille Agglomération,concarneau cornouaille agglomeration,NAME:concarneau cornouaille agglomeration,SIREN:242900769,242900769,24290076900124,CONCARNEAU CORNOUAILLE AGGLOMERATION,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=28.0",2,28.0
Ville d'Allonnes,ville d allonnes,NAME:ville d allonnes,SIREN:791052491,791052491,79105249100010,VILLE D ALLONNES RUNNING,85.8,HIGH,api_recherche_entreprises,matched,"score=85.8, n_cands=8, margin=34.7",8,34.7
Cté d'Agglomération du Choletais,cte d agglomeration du choletais,NAME:cte d agglomeration du choletais,NAME:cte d agglomeration du choletais,,,,41.0,NO_MATCH,api_recherche_entreprises,no_match,score=41.0 (below LOW threshold),1,
Angers Loire Métropole,angers loire metropole,NAME:angers loire metropole,SIREN:244900015,244900015,24490001500011,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,77.8,HIGH,api_recherche_entreprises,matched,"score=77.8, n_cands=10, margin=18.0",10,18.0
GCS eSanté Pays de la Loire,gcs esante pays de la loire,NAME:gcs esante pays de la loire,NAME:gcs esante pays de la loire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Syndicat Trivalis,syndicat trivalis,NAME:syndicat trivalis,NAME:syndicat trivalis,,,,25.4,NO_MATCH,api_recherche_entreprises,no_match,score=25.4 (below LOW threshold),1,
Ville de Talmont Saint Hilaire,talmont saint hilaire,NAME:talmont saint hilaire,SIREN:218502888,218502888,21850288800017,COMMUNE DE TALMONT-SAINT-HILAIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
INRA - Formation permanente nationale,inra formation permanente nationale,NAME:inra formation permanente nationale,NAME:inra formation permanente nationale,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Commune de Saint-Nazaire,saint nazaire,NAME:saint nazaire,SIREN:214401846,214401846,21440184600016,COMMUNE DE SAINT-NAZAIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
commune de Le Pellerin,le pellerin,NAME:le pellerin,SIREN:214401200,214401200,21440120000016,COMMUNE DU PELLERIN,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=33.1",2,33.1
Ville de Vertou,vertou,NAME:vertou,SIREN:214402158,214402158,21440215800015,COMMUNE DE VERTOU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Ecole Centrale de Nantes,ecole centrale de nantes,NAME:ecole centrale de nantes,SIREN:194401006,194401006,19440100600011,ECOLE CENTRALE DE NANTES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=18.3",10,18.3
Ville de Carquefou,carquefou,NAME:carquefou,SIREN:214400269,214400269,21440026900012,COMMUNE DE CARQUEFOU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Commune de Pornic,pornic,NAME:pornic,SIREN:214401317,214401317,21440131700018,COMMUNE DE PORNIC,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=6, margin=43.1",6,43.1
Département de la Sarthe,la sarthe,NAME:la sarthe,SIREN:227200029,227200029,22720002900014,DEPARTEMENT DE LA SARTHE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Sarthe Habitat,sarthe habitat,NAME:sarthe habitat,SIREN:403040850,403040850,40304085000022,SARTHE HABITAT,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
SAELSI,saelsi,NAME:saelsi,NAME:saelsi,,,,16.0,NO_MATCH,api_recherche_entreprises,no_match,score=16.0 (below LOW threshold),2,0.4
CNDP,cndp,NAME:cndp,SIREN:940022890,940022890,94002289000013,CNDP,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
Régie Dépt Passages d'Eau de Vendée,regie dept passages d eau de vendee,NAME:regie dept passages d eau de vendee,NAME:regie dept passages d eau de vendee,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Saumur Agglopropreté,saumur aggloproprete,NAME:saumur aggloproprete,SIREN:794885913,794885913,79488591300010,SAUMUR AGGLOPROPRETE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=34.9",2,34.9
SICTOM Loir et Sarthe,sictom loir et sarthe,NAME:sictom loir et sarthe,NAME:sictom loir et sarthe,,,,39.0,NO_MATCH,api_recherche_entreprises,no_match,score=39.0 (below LOW threshold),1,
Chambre Agriculture Pays de la Loire,chambre agriculture pays de la loire,NAME:chambre agriculture pays de la loire,SIREN:130031487,130031487,13003148700015,CHAMBRE D'AGRICULTURE DE REGION PAYS DE LA LOIRE,97.6,HIGH,api_recherche_entreprises,matched,"score=97.6, n_cands=10, margin=65.0",10,65.0
C.H.S. de la Sarthe,c h s de la sarthe,NAME:c h s de la sarthe,NAME:c h s de la sarthe,,,,44.1,NO_MATCH,api_recherche_entreprises,no_match,score=44.1 (below LOW threshold),5,6.8
E.C.A.S. gendarmerie nationale,e c a s gendarmerie nationale,NAME:e c a s gendarmerie nationale,NAME:e c a s gendarmerie nationale,,,,66.6,LOW,api_recherche_entreprises,matched,score=66.6 (below MEDIUM threshold),1,
S.I. d' énergies de Maine et Loire,s i d energies de maine et loire,NAME:s i d energies de maine et loire,NAME:s i d energies de maine et loire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Commune des Herbiers,commune des herbiers,NAME:commune des herbiers,SIREN:218501096,218501096,21850109600018,COMMUNE DES HERBIERS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=6, margin=30.7",6,30.7
