buyer_name_raw,buyer_name_clean,buyer_key,buyer_key_enriched,enriched_siren,enriched_siret,enriched_name,enrichment_score,enrichment_confidence,enrichment_source,enrichment_status,diagnostic,n_candidates,margin
Ville d'Avrillé,ville d avrille,NAME:ville d avrille,NAME:ville d avrille,,,,56.1,LOW,api_recherche_entreprises,matched,score=56.1 (below MEDIUM threshold),10,-5.0
Ville de Thouaré-sur-Loire,thouare sur loire,NAME:thouare sur loire,SIREN:214402042,214402042,21440204200110,COMMUNE DE THOUARE-SUR-LOIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Ville d'Orvault,ville d orvault,NAME:ville d orvault,NAME:ville d orvault,,,,24.4,NO_MATCH,api_recherche_entreprises,no_match,score=24.4 (below LOW threshold),10,-46.3
Commune de la Chevrolière,la chevroliere,NAME:la chevroliere,SIREN:214400418,214400418,21440041800098,COMMUNE DE LA CHEVROLIERE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Vendée Expansion,vendee expansion,NAME:vendee expansion,SIREN:546650169,546650169,54665016900057,VENDEE EXPANSION - SEM,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
Ville de Saint-Hilaire-de-Riez,saint hilaire de riez,NAME:saint hilaire de riez,SIREN:218502268,218502268,21850226800012,COMMUNE DE SAINT-HILAIRE-DE-RIEZ,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=4, margin=42.2",4,42.2
INSTITUT 4.10,institut 4 10,NAME:institut 4 10,NAME:institut 4 10,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
DIRISI,dirisi,NAME:dirisi,NAME:dirisi,,,,14.6,NO_MATCH,api_recherche_entreprises,no_match,score=14.6 (below LOW threshold),3,-1.2
CARENE,carene,NAME:carene,NAME:carene,,,,29.1,NO_MATCH,api_recherche_entreprises,no_match,score=29.1 (below LOW threshold),10,-61.8
FONDAT REGION OUEST LIGUE CANCER,fondat region ouest ligue cancer,NAME:fondat region ouest ligue cancer,SIREN:777739160,777739160,77773916000011,FONDAT REGION OUEST LIGUE CANCER,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
CENTRE COMMUNAL D ACTION SOCIALE,centre communal d action sociale,NAME:centre communal d action sociale,SIREN:264901893,264901893,26490189300042,CENTRE COMMUNAL ACTION SOCIALE (CCAS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
SDEGM,sdegm,NAME:sdegm,NAME:sdegm,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
MAINE LOIRE HABITAT OFFICE PUB HABITAT,maine loire habitat office pub habitat,NAME:maine loire habitat office pub habitat,NAME:maine loire habitat office pub habitat,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SICTIAM,sictiam,NAME:sictiam,NAME:sictiam,,,,24.9,NO_MATCH,api_recherche_entreprises,no_match,score=24.9 (below LOW threshold),3,24.9
IPHV LES HAUTS THEBAUDIERES,iphv les hauts thebaudieres,NAME:iphv les hauts thebaudieres,NAME:iphv les hauts thebaudieres,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Communauté de Communes de Grand Lieu,communes de grand lieu,NAME:communes de grand lieu,NAME:communes de grand lieu,,,,32.7,NO_MATCH,api_recherche_entreprises,no_match,score=32.7 (below LOW threshold),1,
MAIRIE DE SAINT SATURNIN,saint saturnin,NAME:saint saturnin,SIREN:217203207,217203207,21720320700071,COMMUNE DE SAINT SATURNIN,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Agence Régionale Pays de la Loire TI,agence regionale pays de la loire ti,NAME:agence regionale pays de la loire ti,NAME:agence regionale pays de la loire ti,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Inst. Interdpt bassin Sèvre Niortaise,inst interdpt bassin sevre niortaise,NAME:inst interdpt bassin sevre niortaise,NAME:inst interdpt bassin sevre niortaise,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Mairie du croisic,mairie du croisic,NAME:mairie du croisic,NAME:mairie du croisic,,,,52.3,NO_MATCH,api_recherche_entreprises,no_match,score=52.3 (below LOW threshold),10,-6.2
CHD VENDEE,chd vendee,NAME:chd vendee,NAME:chd vendee,,,,25.0,NO_MATCH,api_recherche_entreprises,no_match,score=25.0 (below LOW threshold),10,-29.0
Le Grand T - Théâtre Loire-Atlantique,le grand t theatre loire atlantique,NAME:le grand t theatre loire atlantique,NAME:le grand t theatre loire atlantique,,,,34.5,NO_MATCH,api_recherche_entreprises,no_match,score=34.5 (below LOW threshold),1,
Conseil départemental Loire-Atlantique,loire atlantique,NAME:loire atlantique,SIREN:935367433,935367433,93536743300015,CONSEIL DEPARTEMENTAL DES MOSQUEES DE LOIRE-ATLANTIQUE (CDM),93.4,HIGH,api_recherche_entreprises,matched,"score=93.4, n_cands=10, margin=5.4",10,5.4
SYNDICAT MIXTE OUVERT ANJOU NUMERIQUE,syndicat mixte ouvert anjou numerique,NAME:syndicat mixte ouvert anjou numerique,SIREN:200052587,200052587,20005258700017,SYNDICAT MIXTE OUVERT ANJOU NUMERIQUE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Communauté de communes de l'Ernée,communes de l ernee,NAME:communes de l ernee,SIREN:245300355,245300355,24530035500030,COMMUNAUTE DE COMMUNES DE L'ERNEE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
DIR INTERDEPARTEMENTALE ROUTES OUEST,dir interdepartementale routes ouest,NAME:dir interdepartementale routes ouest,SIREN:130001704,130001704,13000170400589,DIRECTION INTERDEPARTEMENTALE DES ROUTES OUEST (DIR),95.8,HIGH,api_recherche_entreprises,matched,"score=95.8, n_cands=1, margin=N/A",1,
Centre de Gestion FPT Loire-Atlantique,centre de gestion fpt loire atlantique,NAME:centre de gestion fpt loire atlantique,NAME:centre de gestion fpt loire atlantique,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SEMITAN,semitan,NAME:semitan,NAME:semitan,,,,25.1,NO_MATCH,api_recherche_entreprises,no_match,score=25.1 (below LOW threshold),3,-26.7
Ville de La Rochelle,la rochelle,NAME:la rochelle,SIREN:211703004,211703004,21170300400013,COMMUNE DE LA ROCHELLE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=31.1",3,31.1
Société Loire Atlantique Développement,societe loire atlantique developpement,NAME:societe loire atlantique developpement,SIREN:860800077,860800077,86080007700098,LOIRE ATLANTIQUE DEVELOPPEMENT SELA (SELA),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
ANGERS NANTES OPERA syndicat mixte,angers nantes opera syndicat mixte,NAME:angers nantes opera syndicat mixte,SIREN:254902505,254902505,25490250500018,SYNDICAT MIXTE DE L'OPERA ANGERS NANTES (SMANO),97.3,HIGH,api_recherche_entreprises,matched,"score=97.3, n_cands=1, margin=N/A",1,
Groupe d'étude et de contrôle des vari,groupe d etude et de controle des vari,NAME:groupe d etude et de controle des vari,NAME:groupe d etude et de controle des vari,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
COMMUNE DE CHEMILLE EN ANJOU,chemille en anjou,NAME:chemille en anjou,SIREN:200053593,200053593,20005359300014,COMMUNE DE CHEMILLE-EN-ANJOU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
DIR INTERREGIONALE SCES PENITENTIAIRES,dir interregionale sces penitentiaires,NAME:dir interregionale sces penitentiaires,NAME:dir interregionale sces penitentiaires,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Les Quinconces l'Espal,les quinconces l espal,NAME:les quinconces l espal,NAME:les quinconces l espal,,,,73.3,MEDIUM,api_recherche_entreprises,matched,score=73.3 (below HIGH threshold or margin too small),2,13.7
CESAME - CH de Sainte Gemmes sur Loire,cesame de sainte gemmes sur loire,NAME:cesame de sainte gemmes sur loire,NAME:cesame de sainte gemmes sur loire,,,,44.8,NO_MATCH,api_recherche_entreprises,no_match,score=44.8 (below LOW threshold),1,
CROUS de Rennes,crous de rennes,NAME:crous de rennes,NAME:crous de rennes,,,,43.3,NO_MATCH,api_recherche_entreprises,no_match,score=43.3 (below LOW threshold),4,22.8
Mairie de Saint Etienne de Montluc,saint etienne de montluc,NAME:saint etienne de montluc,SIREN:214401580,214401580,21440158000011,COMMUNE DE SAINT-ETIENNE-DE-MONTLUC,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Ville de Beaucouzé,beaucouze,NAME:beaucouze,SIREN:214900201,214900201,21490020100069,COMMUNE DE BEAUCOUZE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
COMMUNAUTE D AGGLOMERATION LA ROCHELLE,communaute d agglomeration la rochelle,NAME:communaute d agglomeration la rochelle,SIREN:241700434,241700434,24170043400020,COMMUNAUTE D'AGGLOMERATION LA ROCHELLE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=27.9",10,27.9
SDIS 17,17,NAME:17,SIREN:281700252,281700252,28170025200097,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=5, margin=40.3",5,40.3
HOP INTERCOMMUNAL DU BAUGEOIS ET VAL,hop intercommunal du baugeois et val,NAME:hop intercommunal du baugeois et val,NAME:hop intercommunal du baugeois et val,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
DRAC Pays de la Loire,drac pays de la loire,NAME:drac pays de la loire,NAME:drac pays de la loire,,,,50.3,NO_MATCH,api_recherche_entreprises,no_match,score=50.3 (below LOW threshold),1,
SYNDICAT MIXTE POUR LE DVLPT NUMERIQUE,syndicat mixte pour le dvlpt numerique,NAME:syndicat mixte pour le dvlpt numerique,NAME:syndicat mixte pour le dvlpt numerique,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Commune de La Flèche,la fleche,NAME:la fleche,SIREN:217201540,217201540,21720154000010,COMMUNE DE LA FLECHE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Préfecture,prefecture,NAME:prefecture,NAME:prefecture,,,,48.8,NO_MATCH,api_recherche_entreprises,no_match,score=48.8 (below LOW threshold),8,-25.9
Communauté de Communes du Perche,communes du perche,NAME:communes du perche,SIREN:200006971,200006971,20000697100069,COMMUNAUTE DE COMMUNES DU PERCHE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=6, margin=44.2",6,44.2
METROPOLE NANTES METROPOLE,metropole nantes metropole,NAME:metropole nantes metropole,SIREN:244400404,244400404,24440040400129,METROPOLE NANTES METROPOLE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=13.6",10,13.6
INSERM,inserm,NAME:inserm,NAME:inserm,,,,29.8,NO_MATCH,api_recherche_entreprises,no_match,score=29.8 (below LOW threshold),10,-32.7
CMAR Pays de La Loire,cmar pays de la loire,NAME:cmar pays de la loire,NAME:cmar pays de la loire,,,,55.6,LOW,api_recherche_entreprises,matched,score=55.6 (below MEDIUM threshold),2,21.5
DSNA,dsna,NAME:dsna,NAME:dsna,,,,25.0,NO_MATCH,api_recherche_entreprises,no_match,score=25.0 (below LOW threshold),2,18.2
Ville de Pornichet,pornichet,NAME:pornichet,SIREN:214401325,214401325,21440132500011,COMMUNE DE PORNICHET,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=41.0",2,41.0
Chambre de Commerce et d'Industrie,chambre de commerce et d industrie,NAME:chambre de commerce et d industrie,SIREN:188500490,188500490,18850049000019,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE (CCI),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=8, margin=22.7",8,22.7
Commune de La Baule,la baule,NAME:la baule,SIREN:214400558,214400558,21440055800018,COMMUNE DE LA BAULE-ESCOUBLAC,80.2,HIGH,api_recherche_entreprises,matched,"score=80.2, n_cands=1, margin=N/A",1,
Plate Forme Achats Finances Nord Est,plate forme achats finances nord est,NAME:plate forme achats finances nord est,NAME:plate forme achats finances nord est,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CC DU PAYS DE CHANTONNAY,cc du pays de chantonnay,NAME:cc du pays de chantonnay,NAME:cc du pays de chantonnay,,,,46.3,NO_MATCH,api_recherche_entreprises,no_match,score=46.3 (below LOW threshold),1,
CTRE HOSP UNIVERSITAIRE ANGERS,ctre hosp universitaire angers,NAME:ctre hosp universitaire angers,NAME:ctre hosp universitaire angers,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Institut Mines-Télécom Atlantique,institut mines telecom atlantique,NAME:institut mines telecom atlantique,SIREN:180092025,180092025,18009202500154,INSTITUT MINES-TELECOM (IMT),87.4,HIGH,api_recherche_entreprises,matched,"score=87.4, n_cands=1, margin=N/A",1,
MAYENNE TRES HAUT DEBIT,mayenne tres haut debit,NAME:mayenne tres haut debit,SIREN:200061778,200061778,20006177800011,MAYENNE TRES HAUT DEBIT,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
ONIRIS,oniris,NAME:oniris,NAME:oniris,,,,21.8,NO_MATCH,api_recherche_entreprises,no_match,score=21.8 (below LOW threshold),10,-9.7
DREAL BRETAGNE,dreal bretagne,NAME:dreal bretagne,NAME:dreal bretagne,,,,41.7,NO_MATCH,api_recherche_entreprises,no_match,score=41.7 (below LOW threshold),1,
Casier judiciaire national,casier judiciaire national,NAME:casier judiciaire national,SIREN:130025158,130025158,13002515800010,SERVICE DU CASIER JUDICIAIRE NATIONAL,94.7,HIGH,api_recherche_entreprises,matched,"score=94.7, n_cands=3, margin=45.5",3,45.5
ALTER Public,alter public,NAME:alter public,SIREN:528848153,528848153,52884815300029,ALTER PUBLIC,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=4, margin=37.2",4,37.2
CA PORNIC AGGLO PAYS DE RETZ,ca pornic agglo pays de retz,NAME:ca pornic agglo pays de retz,SIREN:200067346,200067346,20006734600011,CA PORNIC AGGLO PAYS DE RETZ,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
VILLE DE LA ROCHE SUR YON,la roche sur yon,NAME:la roche sur yon,SIREN:218501914,218501914,21850191400566,COMMUNE DE LA ROCHE-SUR-YON,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
AUTORITE REGULATION ACTIVITES FERROVIA,autorite regulation activites ferrovia,NAME:autorite regulation activites ferrovia,NAME:autorite regulation activites ferrovia,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
LA ROCHE-SUR-YON AGGLOMERATION,la roche sur yon agglomeration,NAME:la roche sur yon agglomeration,SIREN:248500589,248500589,24850058900317,LA ROCHE-SUR-YON AGGLOMERATION,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=9, margin=39.1",9,39.1
Communauté Communes La Chataigneraie,communaute communes la chataigneraie,NAME:communaute communes la chataigneraie,SIREN:248500415,248500415,24850041500067,COMMUNAUTE COMMUNES PAYS CHATAIGNERAIE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=5, margin=67.3",5,67.3
La Cité des Congrès de Nantes,la cite des congres de nantes,NAME:la cite des congres de nantes,SIREN:381053768,381053768,38105376800028,LA CITE LE CENTRE DES CONGRES DE NANTES,92.4,HIGH,api_recherche_entreprises,matched,"score=92.4, n_cands=10, margin=16.5",10,16.5
Cté de Communes d'Erdre et Gesvres,cte de communes d erdre et gesvres,NAME:cte de communes d erdre et gesvres,NAME:cte de communes d erdre et gesvres,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Ville d'Evron,ville d evron,NAME:ville d evron,NAME:ville d evron,,,,64.4,LOW,api_recherche_entreprises,matched,score=64.4 (below MEDIUM threshold),7,5.6
UniHA GCS,uniha gcs,NAME:uniha gcs,NAME:uniha gcs,,,,25.9,NO_MATCH,api_recherche_entreprises,no_match,score=25.9 (below LOW threshold),1,
GIP Vendée Numérique,gip vendee numerique,NAME:gip vendee numerique,NAME:gip vendee numerique,,,,68.6,LOW,api_recherche_entreprises,matched,score=68.6 (below MEDIUM threshold),1,
LAVAL SPLA,laval spla,NAME:laval spla,NAME:laval spla,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SPIC - ARENA LOIRE TRELAZE,spic arena loire trelaze,NAME:spic arena loire trelaze,NAME:spic arena loire trelaze,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Réseau Canopé,reseau canope,NAME:reseau canope,SIREN:180043010,180043010,18004301001485,RESEAU CANOPE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
SYND DEP D ENERGIE ET D EQPT DE VENDEE,synd dep d energie et d eqpt de vendee,NAME:synd dep d energie et d eqpt de vendee,NAME:synd dep d energie et d eqpt de vendee,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SDIS49,sdis49,NAME:sdis49,NAME:sdis49,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
DEPARTEMENT DE LA SARTHE,la sarthe,NAME:la sarthe,SIREN:227200029,227200029,22720002900014,DEPARTEMENT DE LA SARTHE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
AGCE POUR L ENST FR A L ETRANGER,agce pour l enst fr a l etranger,NAME:agce pour l enst fr a l etranger,NAME:agce pour l enst fr a l etranger,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
ECOLE CENTRALE DE NANTES,ecole centrale de nantes,NAME:ecole centrale de nantes,SIREN:194401006,194401006,19440100600011,ECOLE CENTRALE DE NANTES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=18.3",10,18.3
Le Voyage à Nantes,le voyage a nantes,NAME:le voyage a nantes,SIREN:482414216,482414216,48241421600044,LE VOYAGE A NANTES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=67.4",10,67.4
ESAT Foyers,esat foyers,NAME:esat foyers,NAME:esat foyers,,,,55.4,LOW,api_recherche_entreprises,matched,score=55.4 (below MEDIUM threshold),7,-9.5
Ville d'Arnage,ville d arnage,NAME:ville d arnage,NAME:ville d arnage,,,,73.6,MEDIUM,api_recherche_entreprises,matched,score=73.6 (below HIGH threshold or margin too small),10,35.1
SNA/ouest,sna ouest,NAME:sna ouest,NAME:sna ouest,,,,23.1,NO_MATCH,api_recherche_entreprises,no_match,score=23.1 (below LOW threshold),2,-21.9
CEREMA - DTerMed,cerema dtermed,NAME:cerema dtermed,NAME:cerema dtermed,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Ville de Cholet,cholet,NAME:cholet,SIREN:214900995,214900995,21490099500017,COMMUNE DE CHOLET,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=4, margin=29.8",4,29.8
SPR Pays de la Loire,spr pays de la loire,NAME:spr pays de la loire,NAME:spr pays de la loire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
ville de Sainte-Luce-sur-Loire,sainte luce sur loire,NAME:sainte luce sur loire,SIREN:214401721,214401721,21440172100011,COMMUNE DE SAINTE-LUCE-SUR-LOIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
ville des Sables d'Olonne,ville des sables d olonne,NAME:ville des sables d olonne,NAME:ville des sables d olonne,,,,64.7,LOW,api_recherche_entreprises,matched,score=64.7 (below MEDIUM threshold),10,-2.5
COMMUNE DE NANTES,nantes,NAME:nantes,SIREN:214401093,214401093,21440109300015,COMMUNE DE NANTES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=8, margin=27.0",8,27.0
Université de La Rochelle,la rochelle,NAME:la rochelle,SIREN:191700327,191700327,19170032700015,LA ROCHELLE UNIVERSITE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=27.6",2,27.6
Loire Atlantique Développement - GIE,loire atlantique developpement gie,NAME:loire atlantique developpement gie,SIREN:860800077,860800077,86080007700098,LOIRE ATLANTIQUE DEVELOPPEMENT SELA (SELA),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=0.0",10,0.0
préfet de la région Pays de la Loire,prefet de la region pays de la loire,NAME:prefet de la region pays de la loire,SIREN:234400034,234400034,23440003400026,REGION DES PAYS DE LA LOIRE,88.9,HIGH,api_recherche_entreprises,matched,"score=88.9, n_cands=1, margin=N/A",1,
Commune de Challans,challans,NAME:challans,SIREN:218500478,218500478,21850047800209,COMMUNE DE CHALLANS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
CTE REG PECHES MARITIMES ELEVAGES MARI,cte reg peches maritimes elevages mari,NAME:cte reg peches maritimes elevages mari,NAME:cte reg peches maritimes elevages mari,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
COMMUNE DE SAINT NAZAIRE,saint nazaire,NAME:saint nazaire,SIREN:214401846,214401846,21440184600016,COMMUNE DE SAINT-NAZAIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Ville de Le Pouliguen,le pouliguen,NAME:le pouliguen,SIREN:214401358,214401358,21440135800095,COMMUNE DU POULIGUEN,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
association songo,association songo,NAME:association songo,SIREN:409104007,409104007,40910400700029,SONGO,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=60.0",2,60.0
DEPARTEMENT DE LA MAYENNE,la mayenne,NAME:la mayenne,SIREN:225300011,225300011,22530001100015,DEPARTEMENT DE LA MAYENNE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=14.4",10,14.4
Bretagne Développement Innovation,bretagne developpement innovation,NAME:bretagne developpement innovation,NAME:bretagne developpement innovation,,,,30.4,NO_MATCH,api_recherche_entreprises,no_match,score=30.4 (below LOW threshold),1,
SEC GAL POUR L ADM MIN INTERIEUR OUEST,sec gal pour l adm min interieur ouest,NAME:sec gal pour l adm min interieur ouest,NAME:sec gal pour l adm min interieur ouest,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Mancelle d'habitation,mancelle d habitation,NAME:mancelle d habitation,SIREN:575850490,575850490,57585049000021,MANCELLE D HABITATION,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=84.6",3,84.6
Ville d'Ecouflant,ville d ecouflant,NAME:ville d ecouflant,NAME:ville d ecouflant,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
"SEMITAN, mandataire de la CUN",semitan mandataire de la cun,NAME:semitan mandataire de la cun,NAME:semitan mandataire de la cun,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Institut Régional Administration Lyon,institut regional administration lyon,NAME:institut regional administration lyon,SIREN:832970024,832970024,83297002400010,LES AMIS DE L'INSTITUT REGIONAL D'ADMINISTRATION DE LYON (AMIRAL),94.0,HIGH,api_recherche_entreprises,matched,"score=94.0, n_cands=2, margin=9.7",2,9.7
VILLE DE PORNICHET,pornichet,NAME:pornichet,SIREN:214401325,214401325,21440132500011,COMMUNE DE PORNICHET,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=41.0",2,41.0
COMMUNE DE VERTOU,vertou,NAME:vertou,SIREN:214402158,214402158,21440215800015,COMMUNE DE VERTOU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Communauté de communes Pays Fléchois,communes pays flechois,NAME:communes pays flechois,SIREN:247200348,247200348,24720034800115,COMMUNAUTE DE COMMUNES DU PAYS FLECHOIS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
COMMUNAUTE COMMUNES PAYS DE REDON,communaute communes pays de redon,NAME:communaute communes pays de redon,NAME:communaute communes pays de redon,,,,30.4,NO_MATCH,api_recherche_entreprises,no_match,score=30.4 (below LOW threshold),1,
MINDEF/SGA/DCSID/ESID Bordeaux,mindef sga dcsid esid bordeaux,NAME:mindef sga dcsid esid bordeaux,NAME:mindef sga dcsid esid bordeaux,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SM Mégalis,sm megalis,NAME:sm megalis,NAME:sm megalis,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SISTO,sisto,NAME:sisto,NAME:sisto,,,,6.9,NO_MATCH,api_recherche_entreprises,no_match,score=6.9 (below LOW threshold),1,
SI ENERGIES DE MAINE ET LOIRE,si energies de maine et loire,NAME:si energies de maine et loire,SIREN:254901309,254901309,25490130900032,SI ENERGIES DE MAINE ET LOIRE (SIEML),96.5,HIGH,api_recherche_entreprises,matched,"score=96.5, n_cands=1, margin=N/A",1,
GIE des EPL de Vendée,gie des epl de vendee,NAME:gie des epl de vendee,NAME:gie des epl de vendee,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CTRE NATIONAL D ENST A DISTANCE,ctre national d enst a distance,NAME:ctre national d enst a distance,NAME:ctre national d enst a distance,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
COM D AGGLO REG NAZAIRIENNE ESTUAIRE,com d agglo reg nazairienne estuaire,NAME:com d agglo reg nazairienne estuaire,NAME:com d agglo reg nazairienne estuaire,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Communauté d'agglomération du Niortais,communaute d agglomeration du niortais,NAME:communaute d agglomeration du niortais,NAME:communaute d agglomeration du niortais,,,,36.9,NO_MATCH,api_recherche_entreprises,no_match,score=36.9 (below LOW threshold),4,-13.8
Ville de Villemomble,villemomble,NAME:villemomble,SIREN:219300779,219300779,21930077900200,COMMUNE DE VILLEMOMBLE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=52.2",2,52.2
Agrocampus Ouest,agrocampus ouest,NAME:agrocampus ouest,NAME:agrocampus ouest,,,,61.3,LOW,api_recherche_entreprises,matched,score=61.3 (below MEDIUM threshold),10,3.3
Comm Comm de Doué la Fontaine,comm comm de doue la fontaine,NAME:comm comm de doue la fontaine,NAME:comm comm de doue la fontaine,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CHBR REG METIERS ARTISANAT NOUV AQUIT,chbr reg metiers artisanat nouv aquit,NAME:chbr reg metiers artisanat nouv aquit,NAME:chbr reg metiers artisanat nouv aquit,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Université du Maine,universite du maine,NAME:universite du maine,NAME:universite du maine,,,,74.7,MEDIUM,api_recherche_entreprises,matched,score=74.7 (below HIGH threshold or margin too small),10,30.7
SGAMI OUEST BZAMP,sgami ouest bzamp,NAME:sgami ouest bzamp,NAME:sgami ouest bzamp,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
