method,variant,eligible_contracts,event_count,event_rate,censored_count,negative_control_acceptance,synthetic_benchmark_precision,synthetic_benchmark_recall,synthetic_benchmark_f1,generic_cpv_share,median_probability_or_score,median_margin,language_note
M0,balanced,1661,183,0.11017459361830223,1478,0.0,0.3770491803278688,0.9857142857142858,0.5454545454545454,0.07650273224043716,0.74723,0.16713499999999995,proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain
M0,broad,1661,447,0.2691149909692956,1214,0.0,0.15659955257270694,1.0,0.27079303675048355,0.13646532438478748,0.62574,0.07195999999999994,proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain
M0,strict,1661,87,0.052378085490668275,1574,0.0,0.5287356321839081,0.6571428571428571,0.5859872611464968,0.0,0.84612,0.2807949999999999,proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain
M1,balanced,1661,173,0.10415412402167369,1488,0.011560693641618497,0.3930635838150289,0.9714285714285714,0.5596707818930041,0.023121387283236993,0.989377851687002,0.18087999999999996,proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain
M2,balanced,1661,68,0.040939193257074055,1593,0.0,0.9411764705882353,0.9142857142857143,0.927536231884058,0.0,0.965993315881258,0.23187499999999994,proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain
