contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:15-54892,,0,,,,,0,False,False,,,,48.0,116.72
BOAMP:15-54272,,0,,,,,0,False,False,,,,44.0,116.72
BOAMP:15-54977,,0,,,,,0,False,False,,,,48.0,116.62
BOAMP:15-55213,,0,,,,,0,False,False,,,,12.0,116.62
BOAMP:15-56123,BOAMP:18-146639,1,0.5059,0.5059,,,1,True,False,0.4421,0.0,0.8953,48.0,47.37
BOAMP:15-56649,BOAMP:15-141361,1,0.5607,0.5607,0.4049,0.1558,4,False,False,0.2529,1.0,0.2976,12.0,7.79
BOAMP:15-55527,BOAMP:18-52482,1,0.5881,0.5881,0.4042,0.18389999999999995,3,False,False,0.4552,1.0,0.0302,48.0,42.18
BOAMP:15-56918,,0,,,,,0,False,False,,,,12.0,116.56
BOAMP:15-56776,BOAMP:19-10579,1,0.4208,0.4208,,,1,True,False,0.4074,0.0,0.5394,48.0,45.24
BOAMP:15-58339,BOAMP:19-103125,1,0.5172,0.5172,0.3469,0.1703,3,False,False,0.3426,0.2,0.9008,48.0,47.4
BOAMP:15-58989,BOAMP:18-148384,1,0.4799,0.4799,0.3961,0.08379999999999999,2,False,False,0.6317,0.0,0.3861,48.0,44.32
BOAMP:15-59370,BOAMP:19-59985,1,0.5037,0.5037,0.4252,0.07850000000000001,3,False,False,0.3928,0.0,0.9829,48.0,47.9
BOAMP:15-59556,,0,,,,,0,False,False,,,,48.0,112.25
BOAMP:15-64142,BOAMP:19-59985,1,0.5733,0.5733,0.3851,0.18820000000000003,2,False,False,0.4528,0.2,0.961,48.0,47.77
BOAMP:15-50024,,0,,,,,0,False,False,,,,6.0,114.22
BOAMP:15-63153,BOAMP:19-75795,1,0.5158,0.5158,,,1,True,False,0.4633,0.0,0.9021,48.0,48.59
BOAMP:15-64904,BOAMP:20-137315,1,0.4064,0.4064,0.4022,0.0041999999999999815,2,False,False,0.4315,0.0,0.4192,68.0,71.48
BOAMP:15-65940,,0,,,,,0,False,False,,,,48.0,116.1
BOAMP:15-65742,BOAMP:19-80774,1,0.546,0.546,,,1,True,False,0.2806,,0.7365,48.0,46.42
BOAMP:15-68078,BOAMP:19-71182,1,0.7631,0.7631,,,1,True,False,0.8236,1.0,0.1684,48.0,52.99
BOAMP:15-67480,,0,,,,,0,False,False,,,,48.0,115.93
BOAMP:15-70236,,0,,,,,0,False,False,,,,42.0,115.87
BOAMP:15-71156,,0,,,,,0,False,False,,,,48.0,110.84
BOAMP:15-72457,BOAMP:15-141361,1,0.5497,0.5497,0.4493,0.10039999999999999,6,False,False,0.302,1.0,0.1443,12.0,6.87
BOAMP:15-78724,,0,,,,,0,False,False,,,,48.0,115.34
BOAMP:15-78916,,0,,,,,0,False,False,,,,48.0,115.34
BOAMP:15-78924,BOAMP:16-61484,1,0.6067,0.6067,0.5535,0.053200000000000025,6,False,False,0.437,,0.6511,12.0,14.09
BOAMP:15-81386,BOAMP:19-87510,1,0.5759,0.5759,0.3582,0.21769999999999995,3,False,False,0.4641,0.2,0.9514,48.0,48.29
BOAMP:15-81231,,0,,,,,0,False,False,,,,48.0,111.1
BOAMP:15-82510,,0,,,,,0,False,False,,,,48.0,115.01
BOAMP:15-82236,,0,,,,,0,False,False,,,,48.0,115.01
BOAMP:15-83632,BOAMP:19-103545,1,0.5302,0.5302,0.4417,0.08850000000000002,3,False,False,0.5405,0.0,0.82,48.0,49.08
BOAMP:15-85320,BOAMP:19-51014,1,0.3996,0.3996,0.3946,0.0050000000000000044,2,False,False,0.3078,0.0,0.6325,48.0,45.8
BOAMP:15-84881,BOAMP:19-151382,1,0.6599,0.6599,0.5181,0.14180000000000004,14,False,False,0.6637,0.2,0.972,48.0,47.83
BOAMP:15-86218,BOAMP:19-103545,1,0.4597,0.4597,0.3206,0.1391,2,False,False,0.3587,0.0,0.8309,48.0,49.01
BOAMP:15-87511,,0,,,,,0,False,False,,,,48.0,114.75
BOAMP:15-69493,BOAMP:16-1046,1,0.4463,0.4463,,,1,True,False,0.4245,0.2,0.3822,11.0,7.29
BOAMP:15-89415,BOAMP:19-46630,1,0.5185,0.5185,0.4767,0.04179999999999995,4,False,False,0.3111,,0.5723,48.0,45.43
BOAMP:15-89263,BOAMP:19-75795,1,0.6244,0.6244,,,1,True,False,0.6224,0.4,0.627,48.0,45.76
BOAMP:15-90549,,0,,,,,0,False,False,,,,48.0,114.55
BOAMP:15-90148,,0,,,,,0,False,False,,,,48.0,114.55
BOAMP:15-92216,BOAMP:19-103545,1,0.5401,0.5401,0.4268,0.11330000000000001,3,False,False,0.5297,0.0,0.8912,48.0,48.65
BOAMP:15-92588,BOAMP:16-96174,1,0.5739,0.5739,0.5666,0.007299999999999973,7,False,False,0.5891,0.0,0.9413,12.0,12.35
BOAMP:15-94958,,0,,,,,0,False,False,,,,48.0,114.32
BOAMP:15-93928,,0,,,,,0,False,False,,,,48.0,114.32
BOAMP:15-95100,BOAMP:19-105444,1,0.6786,0.6786,0.3804,0.29819999999999997,2,False,False,0.8704,0.0,0.9021,48.0,48.59
BOAMP:15-95253,BOAMP:19-103545,1,0.4816,0.4816,0.3405,0.14109999999999995,2,False,False,0.3671,0.0,0.924,48.0,48.46
BOAMP:15-95813,BOAMP:19-104228,1,0.3318,0.3318,,,1,True,False,0.2313,0.0,0.4463,48.0,44.68
BOAMP:15-96106,BOAMP:19-103125,1,0.618,0.618,0.5216,0.09640000000000004,3,False,False,0.572,0.2,0.9459,48.0,48.32
BOAMP:15-96786,,0,,,,,0,False,False,,,,48.0,114.26
BOAMP:15-96870,BOAMP:19-136955,1,0.6167,0.6167,0.4378,0.1789,4,False,False,0.2522,1.0,0.5791,48.0,50.53
