contract_id,buyer_key,cpv_div2,category_label,contract_start,declared_duration_months,dur_was_imputed,estimated_end_date,event,renewal_contract_id,observed_duration_months,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,start_date_source,link_method,type_procedure,type_marche,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:15-56123,SIREN:247200132,45.0,Unknown,2015-04-14,48.0,True,2019-04-14,1,BOAMP:18-146639,47.37,0.5059,0.4421,0.0,True,0.8953,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5059,,,1,True,False
BOAMP:15-56649,SIREN:234400034,72.0,IT Services & Consulting,2015-04-14,12.0,False,2016-04-13,1,BOAMP:15-141361,7.79,0.5607,0.2529,1.0,True,0.2976,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5607,0.4049,0.1558,4,False,False
BOAMP:15-55527,NAME:cdc du pays de saint gilles cx de vie,48.0,Software & Applications,2015-04-14,48.0,True,2019-04-14,1,BOAMP:18-52482,42.18,0.5881,0.4552,1.0,True,0.0302,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5881,0.4042,0.18389999999999995,3,False,False
BOAMP:15-56918,NAME:vallet,32.0,Telecom & Networks,2015-04-15,12.0,False,2016-04-14,0,,116.56,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-56776,SIREN:532458809,32.0,Telecom & Networks,2015-04-15,48.0,True,2019-04-15,1,BOAMP:19-10579,45.24,0.4208,0.4074,0.0,True,0.5394,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4208,,,1,True,False
BOAMP:15-58339,NAME:cnieg,72.0,IT Services & Consulting,2015-07-22,48.0,False,2019-07-22,1,BOAMP:19-103125,47.4,0.5172,0.3426,0.2,True,0.9008,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5172,0.3469,0.1703,3,False,False
BOAMP:15-58989,NAME:ccir pays de la loire,48.0,Software & Applications,2015-04-17,48.0,True,2019-04-17,1,BOAMP:18-148384,44.32,0.4799,0.6317,0.0,True,0.3861,publication_date,sentence_transformers,OUVERT,,0,0,0,,0.4799,0.3961,0.08379999999999999,2,False,False
BOAMP:15-59370,SIREN:264400136,72.0,IT Services & Consulting,2015-04-20,48.0,False,2019-04-20,1,BOAMP:19-59985,47.9,0.5037,0.3928,0.0,True,0.9829,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5037,0.4252,0.07850000000000001,3,False,False
BOAMP:15-59556,NAME:conseil general de loire atlantique,35.0,Cybersecurity,2015-08-24,48.0,False,2019-08-24,0,,112.25,,,,,,attribution_award_date,none,OUVERT,,0,0,0,200000.0,,,,0,False,False
BOAMP:15-64142,SIREN:264400136,48.0,Software & Applications,2015-04-24,48.0,True,2019-04-24,1,BOAMP:19-59985,47.77,0.5733,0.4528,0.2,True,0.961,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5733,0.3851,0.18820000000000003,2,False,False
BOAMP:15-50024,SIREN:258500222,35.0,Cybersecurity,2015-06-25,6.0,False,2015-12-24,0,,114.22,,,,,,attribution_award_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-63153,SIREN:258500222,45.0,Unknown,2015-04-27,48.0,True,2019-04-27,1,BOAMP:19-75795,48.59,0.5158,0.4633,0.0,True,0.9021,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5158,,,1,True,False
BOAMP:15-64904,SIREN:288500010,48.0,Software & Applications,2015-04-28,68.0,False,2020-12-26,1,BOAMP:20-137315,71.48,0.4064,0.4315,0.0,True,0.4192,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4064,0.4022,0.0041999999999999815,2,False,False
BOAMP:15-65940,NAME:pole sante sarthe et loire,72.0,IT Maintenance & Support,2015-04-29,48.0,True,2019-04-29,0,,116.1,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-65742,NAME:ville du mans,32.0,Telecom & Networks,2015-07-10,48.0,True,2019-07-10,1,BOAMP:19-80774,46.42,0.546,0.2806,,False,0.7365,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.546,,,1,True,False
BOAMP:15-68078,NAME:dir ouest,32.0,Telecom & Networks,2015-05-04,48.0,False,2019-05-04,1,BOAMP:19-71182,52.99,0.7631,0.8236,1.0,True,0.1684,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,240000.0,0.7631,,,1,True,False
BOAMP:15-67480,NAME:syndicat departemental d energie,48.0,Software & Applications,2015-05-04,48.0,True,2019-05-04,0,,115.93,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-70236,SIREN:288500010,72.0,IT Services & Consulting,2015-05-06,42.0,False,2018-11-04,0,,115.87,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-71156,SIREN:194909701,48.0,Software & Applications,2015-10-06,48.0,False,2019-10-06,0,,110.84,,,,,,attribution_award_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-72457,SIREN:234400034,72.0,IT Services & Consulting,2015-05-12,12.0,False,2016-05-11,1,BOAMP:15-141361,6.87,0.5497,0.302,1.0,True,0.1443,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5497,0.4493,0.10039999999999999,6,False,False
BOAMP:15-78724,NAME:e collectivites vendee,72.0,IT Services & Consulting,2015-05-22,48.0,True,2019-05-22,0,,115.34,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-78916,SIREN:264400136,72.0,IT Services & Consulting,2015-05-22,48.0,True,2019-05-22,0,,115.34,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-78924,SIREN:234400034,,Telecom & Networks,2015-05-26,12.0,False,2016-05-25,1,BOAMP:16-61484,14.09,0.6067,0.437,,False,0.6511,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6067,0.5535,0.053200000000000025,6,False,False
BOAMP:15-81386,NAME:gpm de nantes st nazaire,48.0,Software & Applications,2015-05-28,48.0,True,2019-05-28,1,BOAMP:19-87510,48.29,0.5759,0.4641,0.2,True,0.9514,publication_date,sentence_transformers,DIALOGUE_COMPETITIF,SERVICES,0,0,0,600000.0,0.5759,0.3582,0.21769999999999995,3,False,False
BOAMP:15-81231,NAME:saem vendee,72.0,IT Services & Consulting,2015-09-28,48.0,True,2019-09-28,0,,111.1,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-82510,NAME:cg49,,Data & AI,2015-06-01,48.0,True,2019-06-01,0,,115.01,,,,,,publication_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-82236,SIREN:214401432,38.0,Unknown,2015-06-01,48.0,False,2019-06-01,0,,115.01,,,,,,publication_date,none,OUVERT,,0,0,0,1090000.0,,,,0,False,False
BOAMP:15-83632,SIREN:264400136,72.0,IT Services & Consulting,2015-06-03,48.0,True,2019-06-03,1,BOAMP:19-103545,49.08,0.5302,0.5405,0.0,True,0.82,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5302,0.4417,0.08850000000000002,3,False,False
BOAMP:15-85320,SIREN:110006012,48.0,Software & Applications,2015-06-04,48.0,True,2019-06-04,1,BOAMP:19-51014,45.8,0.3996,0.3078,0.0,True,0.6325,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.3996,0.3946,0.0050000000000000044,2,False,False
BOAMP:15-84881,NAME:nantes metropole,48.0,Software & Applications,2015-10-14,48.0,False,2019-10-14,1,BOAMP:19-151382,47.83,0.6599,0.6637,0.2,True,0.972,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6599,0.5181,0.14180000000000004,14,False,False
BOAMP:15-86218,SIREN:264400136,35.0,Cybersecurity,2015-06-05,48.0,False,2019-06-05,1,BOAMP:19-103545,49.01,0.4597,0.3587,0.0,True,0.8309,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4597,0.3206,0.1391,2,False,False
BOAMP:15-87511,SIREN:265300087,,Telecom & Networks,2015-06-09,48.0,True,2019-06-09,0,,114.75,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-69493,NAME:ademe,72.0,Data & AI,2015-06-10,11.0,False,2016-05-09,1,BOAMP:16-1046,7.29,0.4463,0.4245,0.2,True,0.3822,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4463,,,1,True,False
BOAMP:15-89415,NAME:le mans,,Software & Applications,2015-06-11,48.0,True,2019-06-11,1,BOAMP:19-46630,45.43,0.5185,0.3111,,False,0.5723,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5185,0.4767,0.04179999999999995,4,False,False
BOAMP:15-89263,SIREN:258500222,72.0,Data & AI,2015-07-22,48.0,True,2019-07-22,1,BOAMP:19-75795,45.76,0.6244,0.6224,0.4,True,0.627,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.6244,,,1,True,False
BOAMP:15-90549,SIREN:242900769,72.0,IT Services & Consulting,2015-06-15,48.0,True,2019-06-15,0,,114.55,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-90148,SIREN:242900769,30.0,IT Hardware & Equipment,2015-06-15,48.0,True,2019-06-15,0,,114.55,,,,,,publication_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-92216,SIREN:264400136,72.0,IT Services & Consulting,2015-06-16,48.0,True,2019-06-16,1,BOAMP:19-103545,48.65,0.5401,0.5297,0.0,True,0.8912,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5401,0.4268,0.11330000000000001,3,False,False
BOAMP:15-92588,SIREN:234400034,72.0,IT Services & Consulting,2015-10-08,12.0,False,2016-10-07,1,BOAMP:16-96174,12.35,0.5739,0.5891,0.0,True,0.9413,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5739,0.5666,0.007299999999999973,7,False,False
BOAMP:15-94958,SIREN:791052491,,Telecom & Networks,2015-06-22,48.0,True,2019-06-22,0,,114.32,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
