contract_id,buyer_key,cpv_div2,category_label,contract_start,declared_duration_months,dur_was_imputed,estimated_end_date,event,renewal_contract_id,observed_duration_months,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,start_date_source,link_method,type_procedure,type_marche,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:17-1971,NAME:maine loire habitat office pub habitat,48.0,Software & Applications,2017-01-06,48.0,False,2021-01-06,0,,95.8,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-2924,NAME:sictiam,72.0,IT Services & Consulting,2017-01-08,12.0,False,2018-01-08,0,,95.73,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-4904,NAME:iphv les hauts thebaudieres,48.0,Software & Applications,2017-01-11,48.0,True,2021-01-11,0,,95.63,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-8592,NAME:communes de grand lieu,35.0,Cybersecurity,2017-01-18,12.0,False,2018-01-18,1,BOAMP:18-91798,17.41,0.4123,0.3489,,False,0.0981,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4123,,,1,True,False
BOAMP:17-6714,SIREN:194909701,72.0,IT Services & Consulting,2017-01-18,36.0,False,2020-01-18,1,BOAMP:19-190328,35.09,0.5091,0.474,0.0,True,0.8476,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5091,,,1,True,False
BOAMP:17-8714,SIREN:227200029,72.0,IT Services & Consulting,2017-01-19,48.0,True,2021-01-19,1,BOAMP:20-150503,49.8,0.4826,0.4817,0.0,True,0.6995,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4826,,,1,True,False
BOAMP:17-9361,SIREN:264400136,48.0,Software & Applications,2017-01-19,48.0,True,2021-01-19,1,BOAMP:21-15299,48.52,0.4853,0.3817,0.0,True,0.9131,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4853,0.4748,0.01050000000000001,9,False,False
BOAMP:17-10167,SIREN:217203207,44.0,Unknown,2017-01-20,48.0,True,2021-01-20,0,,95.34,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-8483,SIREN:227200029,45.0,Telecom & Networks,2017-04-07,4.0,False,2017-08-06,0,,92.81,,,,,,attribution_award_date,none,OUVERT,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-12394,NAME:sdegm,32.0,Telecom & Networks,2017-01-26,48.0,True,2021-01-26,0,,95.14,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-13461,NAME:nantes metropole,72.0,IT Services & Consulting,2017-01-29,36.0,False,2020-01-29,1,BOAMP:20-12070,35.87,0.5621,0.4157,0.2,True,0.979,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5621,0.5527,0.009400000000000075,13,False,False
BOAMP:17-14320,NAME:agence regionale pays de la loire ti,72.0,IT Services & Consulting,2017-02-01,48.0,False,2021-02-01,0,,94.94,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,260000.0,,,,0,False,False
BOAMP:17-14986,SIREN:264400136,72.0,IT Services & Consulting,2017-06-02,12.0,False,2018-06-02,1,BOAMP:18-76556,12.12,0.573,0.4426,0.2,True,0.9796,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,600000.0,0.573,0.5535,0.019499999999999962,9,False,False
BOAMP:17-16256,NAME:inst interdpt bassin sevre niortaise,45.0,Unknown,2017-02-02,48.0,True,2021-02-02,0,,94.91,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-15684,SIREN:214401846,72.0,IT Services & Consulting,2017-02-03,48.0,True,2021-02-03,0,,94.88,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-20659,SIREN:288500010,72.0,IT Services & Consulting,2017-05-02,48.0,True,2021-05-02,1,BOAMP:21-44149,46.98,0.8857,0.7994,1.0,True,0.8296,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,200000.0,0.8857,0.5134,0.3723000000000001,2,False,True
BOAMP:17-19962,SIREN:194401006,32.0,Telecom & Networks,2017-04-06,12.0,False,2018-04-06,1,BOAMP:18-61507,12.88,0.4995,0.4468,0.0,True,0.8537,attribution_award_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.4995,0.3939,0.10560000000000003,2,False,False
BOAMP:17-19635,NAME:mairie du croisic,32.0,Telecom & Networks,2017-02-11,1.0,False,2017-03-13,0,,94.61,,,,,,publication_date,none,OUVERT,TRAVAUX,0,0,0,,,,,0,False,False
BOAMP:17-20825,NAME:le mans,32.0,Telecom & Networks,2017-04-11,48.0,False,2021-04-11,1,BOAMP:21-28963,46.78,0.5062,0.242,0.4,True,0.7968,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5062,0.2769,0.2293,2,False,False
BOAMP:17-23389,SIREN:865800767,45.0,Unknown,2017-02-16,9.0,False,2017-11-16,1,BOAMP:17-147216,8.18,0.7409,0.6707,0.6,True,0.8633,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.7409,0.675,0.06589999999999996,2,False,True
BOAMP:17-22230,SIREN:214401622,35.0,Cybersecurity,2017-05-18,12.0,False,2018-05-18,0,,91.46,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-23490,NAME:chd vendee,48.0,Software & Applications,2017-02-18,12.0,False,2018-02-18,0,,94.38,,,,,,publication_date,none,OUVERT,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-25253,NAME:le grand t theatre loire atlantique,48.0,Software & Applications,2017-02-21,48.0,True,2021-02-21,0,,94.28,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-25915,SIREN:264400136,48.0,Software & Applications,2017-02-22,48.0,True,2021-02-22,1,BOAMP:20-118996,47.17,0.4972,0.4368,0.0,True,0.8625,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.4972,0.4724,0.02479999999999999,10,False,False
BOAMP:17-26666,SIREN:546650169,72.0,IT Services & Consulting,2017-03-30,12.0,False,2018-03-30,0,,93.07,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-27341,SIREN:935367433,50.0,Unknown,2017-02-26,44.0,False,2020-10-27,1,BOAMP:20-35774,43.96,0.4577,0.2729,0.0,True,0.9926,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,450000.0,0.4577,0.3799,0.07779999999999998,9,False,False
BOAMP:17-29415,SIREN:935367433,72.0,IT Maintenance & Support,2017-03-03,48.0,False,2021-03-03,1,BOAMP:21-77546,51.25,0.7974,0.7641,1.0,True,0.4586,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,2000000.0,0.7974,0.7492,0.04820000000000002,10,False,False
BOAMP:17-32686,SIREN:865800767,45.0,Unknown,2017-03-08,10.0,False,2018-01-06,1,BOAMP:17-123367,9.17,0.6788,0.5166,0.6,True,0.8609,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.6788,0.6713,0.007499999999999951,2,False,False
BOAMP:17-31647,SIREN:200052587,32.0,Telecom & Networks,2018-01-22,48.0,True,2022-01-22,0,,83.28,,,,,,attribution_award_date,none,,SERVICES,0,0,1,,,,,0,False,False
BOAMP:17-35511,SIREN:245300355,48.0,Software & Applications,2017-03-14,48.0,True,2021-03-14,0,,93.59,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-35759,SIREN:234400034,72.0,IT Services & Consulting,2017-06-02,24.0,False,2019-06-02,1,BOAMP:19-41115,24.28,0.4886,0.3695,0.0,True,0.9538,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4886,0.3921,0.09649999999999997,5,False,False
BOAMP:17-35545,SIREN:264400136,48.0,Software & Applications,2017-07-28,14.0,False,2018-09-27,1,BOAMP:18-159101,15.57,0.698,0.876,0.2,True,0.7381,attribution_award_date,sentence_transformers,NEGOCIE,FOURNITURES,0,0,0,,0.698,0.5345,0.16349999999999998,7,False,False
BOAMP:17-38797,SIREN:244900015,39.0,Telecom & Networks,2017-08-28,12.0,False,2018-08-28,1,BOAMP:18-101099,10.78,0.4643,0.3879,0.0,True,0.7959,attribution_award_date,sentence_transformers,NEGOCIE,FOURNITURES,0,0,0,210000.0,0.4643,,,1,True,False
BOAMP:17-39457,SIREN:130001704,72.0,IT Services & Consulting,2017-03-23,12.0,False,2018-03-23,1,BOAMP:18-87219,15.05,0.8279,0.8236,1.0,True,0.4923,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.8279,0.7607,0.06719999999999993,2,False,True
BOAMP:17-40324,SIREN:247200132,72.0,IT Services & Consulting,2017-07-10,48.0,True,2021-07-10,1,BOAMP:21-27874,46.29,0.4505,0.269,0.2,True,0.7146,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4505,0.4494,0.0010999999999999899,2,False,False
BOAMP:17-39093,SIREN:258500222,48.0,Software & Applications,2017-06-29,48.0,True,2021-06-29,1,BOAMP:20-91479,42.31,0.3188,0.3959,0.0,True,0.0521,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.3188,,,1,True,False
BOAMP:17-39998,SIREN:214401846,48.0,Software & Applications,2017-07-05,48.0,True,2021-07-05,1,BOAMP:21-101248,51.97,0.4363,0.4215,0.2,True,0.3382,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4363,,,1,True,False
BOAMP:17-44758,SIREN:110006012,72.0,IT Services & Consulting,2017-08-23,48.0,False,2021-08-23,1,BOAMP:21-22700,42.61,0.3506,0.3259,0.2,True,0.1014,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.3506,,,1,True,False
BOAMP:17-44607,SIREN:234400034,48.0,Cloud & Infrastructure,2017-07-21,48.0,False,2021-07-21,1,BOAMP:21-46043,47.31,0.6606,0.8342,0.0,True,0.8844,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6606,0.6376,0.02300000000000002,14,False,False
BOAMP:17-45104,SIREN:214401622,32.0,Telecom & Networks,2017-08-09,12.0,False,2018-08-09,0,,88.73,,,,,,attribution_award_date,none,OUVERT,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-47832,NAME:centre de gestion fpt loire atlantique,32.0,Telecom & Networks,2017-04-05,48.0,True,2021-04-05,0,,92.87,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-48788,SIREN:234400034,72.0,IT Services & Consulting,2017-07-24,24.0,False,2019-07-24,1,BOAMP:19-17058,21.98,0.5241,0.3538,0.4,True,0.6629,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5241,0.4531,0.07100000000000001,8,False,False
BOAMP:17-47703,NAME:semitan,72.0,IT Services & Consulting,2017-04-07,24.0,False,2019-04-07,1,BOAMP:18-153265,25.3,0.4351,0.3208,0.0,True,0.7841,publication_date,sentence_transformers,NEGOCIE,SERVICES,0,0,0,,0.4351,,,1,True,False
BOAMP:17-47930,SIREN:211703004,48.0,Software & Applications,2017-04-07,24.0,False,2019-04-07,0,,92.81,,,,,,publication_date,none,DIALOGUE_COMPETITIF,FOURNITURES,0,0,0,100000.0,,,,0,False,False
BOAMP:17-48519,NAME:carene,48.0,Software & Applications,2017-04-09,48.0,False,2021-04-09,0,,92.74,,,,,,publication_date,none,NEGOCIE,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-42319,NAME:cte de cnes de l ile de noirmoutier,92.0,Unknown,2017-10-25,12.0,False,2018-10-25,0,,86.2,,,,,,attribution_award_date,none,RESTREINT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-47467,SIREN:860800077,32.0,Telecom & Networks,2017-06-29,48.0,True,2021-06-29,0,,90.08,,,,,,attribution_award_date,none,OUVERT,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-53475,SIREN:391722881,72.0,IT Services & Consulting,2018-01-02,12.0,False,2019-01-02,1,BOAMP:18-8879,12.29,0.7079,0.7936,0.2,True,0.9523,attribution_award_date,sentence_transformers,RESTREINT,SERVICES,0,0,0,,0.7079,0.676,0.03189999999999993,2,False,False
BOAMP:17-55172,SIREN:532458809,50.0,Unknown,2017-04-21,16.0,False,2018-08-21,1,BOAMP:19-10579,21.02,0.4164,0.5848,0.0,True,0.1625,publication_date,sentence_transformers,OUVERT,TRAVAUX,0,0,0,,0.4164,,,1,True,False
BOAMP:17-54861,NAME:ville d orvault,48.0,Software & Applications,2017-06-20,36.0,False,2020-06-19,0,,90.37,,,,,,attribution_award_date,none,OUVERT,FOURNITURES,0,0,0,,,,,0,False,False
BOAMP:17-57345,SIREN:254902505,,Cybersecurity,2017-04-25,48.0,True,2021-04-25,0,,92.21,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-56720,NAME:gcs esante pays de la loire,72.0,IT Services & Consulting,2017-08-29,12.0,False,2018-08-29,0,,88.07,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-58486,SIREN:264400136,72.0,Digital Workplace & Collaboration,2017-04-28,12.0,False,2018-04-28,1,BOAMP:17-159373,11.17,0.6694,0.6177,0.4,True,0.8616,publication_date,sentence_transformers,NEGOCIE,SERVICES,0,0,0,,0.6694,0.6419,0.02749999999999997,8,False,False
BOAMP:17-58113,NAME:arafer,72.0,IT Maintenance & Support,2017-04-28,24.0,False,2019-04-28,0,,92.12,,,,,,publication_date,none,NEGOCIE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-58214,NAME:nantes metropole,72.0,Cybersecurity,2017-04-30,48.0,False,2021-04-30,1,BOAMP:21-85842,49.84,0.6208,0.455,0.6,True,0.694,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6208,0.6063,0.014500000000000068,11,False,False
BOAMP:17-56890,NAME:nantes metropole,90.0,Unknown,2017-08-21,12.0,False,2018-08-21,1,BOAMP:18-66863,11.63,0.4385,0.2521,0.0,True,0.9382,attribution_award_date,sentence_transformers,OUVERT,TRAVAUX,0,0,0,,0.4385,0.4306,0.007900000000000018,6,False,False
BOAMP:17-62129,SIREN:234400034,72.0,IT Services & Consulting,2017-05-04,18.0,False,2018-11-02,1,BOAMP:18-150422,17.77,0.5935,0.3776,0.4,True,0.9621,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5935,0.5573,0.03620000000000001,10,False,False
BOAMP:17-61199,SIREN:546650169,72.0,IT Services & Consulting,2017-05-04,12.0,False,2018-05-04,0,,91.92,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-61541,SIREN:264400136,72.0,IT Services & Consulting,2017-07-21,48.0,False,2021-07-21,1,BOAMP:21-76925,50.79,0.8493,0.8556,1.0,True,0.5353,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.8493,0.675,0.1743,7,False,True
BOAMP:17-62974,NAME:cap atlantique,48.0,Software & Applications,2017-05-05,48.0,False,2021-05-05,1,BOAMP:20-98937,43.86,0.3202,0.2709,0.0,True,0.3095,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,208000.0,0.3202,,,1,True,False
BOAMP:17-62873,SIREN:194909701,72.0,IT Services & Consulting,2017-05-07,36.0,False,2020-05-06,1,BOAMP:20-114106,40.44,0.852,1.0,1.0,True,0.26,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.852,0.3897,0.4623,3,False,True
BOAMP:17-56105,SIREN:264400268,48.0,Software & Applications,2017-05-07,60.0,False,2022-05-07,0,,91.82,,,,,,publication_date,none,OUVERT,FOURNITURES,0,0,0,466000.0,,,,0,False,False
BOAMP:17-66007,NAME:le mans,72.0,IT Services & Consulting,2017-05-12,48.0,True,2021-05-12,1,BOAMP:21-37354,46.29,0.5589,0.6649,0.0,True,0.7146,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5589,0.5492,0.009699999999999931,5,False,False
BOAMP:17-67752,NAME:gpm de nantes st nazaire,32.0,Telecom & Networks,2017-05-16,48.0,True,2021-05-16,1,BOAMP:21-124527,52.04,0.397,0.4538,0.0,True,0.3272,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.397,0.3827,0.014300000000000035,2,False,False
BOAMP:17-69161,NAME:ville du mans,37.0,Data & AI,2017-05-17,48.0,True,2021-05-17,1,BOAMP:21-103746,50.3,0.8518,0.9135,,False,0.6174,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,2000.0,0.8518,,,1,True,False
BOAMP:17-69162,SIREN:247200132,72.0,IT Services & Consulting,2017-10-30,30.0,False,2020-04-30,1,BOAMP:19-160471,28.52,0.4646,0.2853,0.2,True,0.7525,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.4646,0.4386,0.026000000000000023,4,False,False
BOAMP:17-68186,SIREN:234400034,72.0,IT Services & Consulting,2017-08-09,12.0,False,2018-08-09,1,BOAMP:18-103319,11.33,0.8698,0.73,1.0,True,0.889,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,500000.0,0.8698,0.5688,0.30100000000000005,13,False,True
BOAMP:17-59442,NAME:ademe,72.0,IT Services & Consulting,2017-05-19,48.0,False,2021-05-19,0,,91.43,,,,,,publication_date,none,RESTREINT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-68883,NAME:arafer,72.0,IT Maintenance & Support,2017-05-19,24.0,False,2019-05-19,0,,91.43,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-71849,SIREN:234400034,72.0,Digital Workplace & Collaboration,2017-08-09,12.0,False,2018-08-09,1,BOAMP:18-30222,11.07,0.695,0.3148,1.0,True,0.8452,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.695,0.653,0.041999999999999926,13,False,False
BOAMP:17-71852,SIREN:284900016,35.0,Cybersecurity,2017-05-24,48.0,True,2021-05-24,0,,91.26,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-73536,NAME:nantes metropole,48.0,Software & Applications,2017-10-26,60.0,False,2022-10-26,1,BOAMP:22-142509,59.92,0.7955,0.4953,1.0,True,0.9869,attribution_award_date,sentence_transformers,NEGOCIE,SERVICES,0,0,0,,0.7955,0.7926,0.0029000000000000137,20,False,False
BOAMP:17-73142,SIREN:247200132,48.0,Software & Applications,2017-08-22,36.0,False,2020-08-21,1,BOAMP:19-177021,33.41,0.5661,0.5061,0.4,True,0.5683,attribution_award_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.5661,0.3302,0.23590000000000005,2,False,False
BOAMP:17-73357,NAME:syndicat departemental d energie,32.0,Telecom & Networks,2017-10-26,12.0,False,2018-10-26,0,,86.17,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-72992,NAME:groupe d etude et de controle des vari,72.0,IT Services & Consulting,2017-07-17,24.0,False,2019-07-17,0,,89.49,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-74632,SIREN:130029747,48.0,Software & Applications,2017-05-31,48.0,True,2021-05-31,1,BOAMP:21-61224,47.17,0.7702,0.4942,1.0,True,0.8625,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,240000.0,0.7702,0.6673,0.10289999999999999,4,False,True
BOAMP:17-75817,SIREN:200053593,48.0,Software & Applications,2017-05-31,48.0,True,2021-05-31,0,,91.03,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-76729,NAME:dir interregionale sces penitentiaires,32.0,Telecom & Networks,2017-06-01,48.0,True,2021-06-01,0,,91.0,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-76616,NAME:nantes metropole,72.0,Cybersecurity,2017-06-03,48.0,False,2021-06-03,1,BOAMP:21-85842,48.72,0.6076,0.329,0.6,True,0.8802,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.6076,0.6009,0.006700000000000039,11,False,False
BOAMP:17-77862,SIREN:234400034,34.0,Unknown,2017-10-04,12.0,False,2018-10-04,1,BOAMP:18-87166,11.89,0.5296,0.4579,0.0,True,0.982,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5296,0.4711,0.05849999999999994,14,False,False
BOAMP:17-78402,SIREN:288500010,,Telecom & Networks,2017-06-06,48.0,False,2021-06-06,1,BOAMP:20-137315,46.19,0.613,0.4253,,False,0.6982,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.613,0.5126,0.10040000000000004,2,False,False
BOAMP:17-78663,NAME:les quinconces l espal,32.0,Telecom & Networks,2017-06-06,48.0,True,2021-06-06,0,,90.83,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-79002,SIREN:198513905,32.0,Telecom & Networks,2017-06-07,48.0,True,2021-06-07,0,,90.8,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:17-68985,NAME:nantes metropole,48.0,Software & Applications,2017-10-16,48.0,False,2021-10-16,1,BOAMP:21-150402,48.95,0.5542,0.4645,0.2,True,0.8419,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5542,0.5048,0.0494,17,False,False
BOAMP:17-80207,SIREN:214402042,,Unknown,2017-06-08,48.0,True,2021-06-08,1,BOAMP:21-146075,52.76,0.5421,0.5381,,False,0.2067,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5421,,,1,True,False
BOAMP:17-80194,SIREN:935367433,72.0,IT Services & Consulting,2017-06-08,48.0,False,2021-06-08,1,BOAMP:21-77546,48.06,0.6077,0.2743,0.6,True,0.9897,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,160000.0,0.6077,0.5259,0.08179999999999998,7,False,False
BOAMP:17-80573,SIREN:284400017,32.0,Telecom & Networks,2017-10-17,48.0,False,2021-10-17,1,BOAMP:22-17364,51.61,0.4108,0.4529,0.0,True,0.3984,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4108,0.3648,0.045999999999999985,2,False,False
BOAMP:17-80380,NAME:maine loire habitat office pub habitat,32.0,Telecom & Networks,2017-10-03,48.0,False,2021-10-03,0,,86.93,,,,,,attribution_award_date,none,OUVERT,SERVICES,0,0,0,300000.0,,,,0,False,False
BOAMP:17-82963,NAME:ville du mans,32.0,Telecom & Networks,2017-10-09,48.0,True,2021-10-09,1,BOAMP:21-103746,45.53,0.5549,0.3711,,False,0.5887,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.5549,,,1,True,False
BOAMP:17-85841,SIREN:234400034,48.0,Software & Applications,2017-10-23,12.0,False,2018-10-23,1,BOAMP:18-87166,11.27,0.5535,0.4447,0.2,True,0.878,attribution_award_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5535,0.4702,0.08329999999999999,12,False,False
BOAMP:17-85294,SIREN:391722881,48.0,Software & Applications,2017-06-21,12.0,False,2018-06-21,1,BOAMP:18-40176,9.07,0.4669,0.4116,0.2,True,0.5112,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4669,0.3985,0.06839999999999996,3,False,False
BOAMP:17-88463,NAME:cesame de sainte gemmes sur loire,32.0,Telecom & Networks,2017-06-25,39.0,False,2020-09-24,0,,90.21,,,,,,publication_date,none,OUVERT,FOURNITURES,0,0,0,220000.0,,,,0,False,False
BOAMP:17-90424,NAME:regie dept passages d eau de vendee,72.0,IT Services & Consulting,2017-06-27,48.0,True,2021-06-27,1,BOAMP:21-135182,51.38,0.7289,0.6039,1.0,True,0.4367,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.7289,0.4615,0.26739999999999997,2,False,True
BOAMP:17-90049,SIREN:391722881,35.0,Cybersecurity,2017-06-28,12.0,False,2018-06-28,1,BOAMP:17-93952,10.51,0.4312,0.327,0.0,True,0.7521,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4312,0.4053,0.025900000000000034,3,False,False
BOAMP:17-91935,NAME:nantes metropole,32.0,Telecom & Networks,2017-07-01,48.0,False,2021-07-01,1,BOAMP:21-163822,53.52,0.7391,0.8075,1.0,True,0.0808,publication_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.7391,0.6596,0.07950000000000002,13,False,True
BOAMP:17-91530,SIREN:225300011,45.0,Unknown,2018-05-29,24.0,False,2020-05-28,1,BOAMP:20-88363,25.36,0.4333,0.3218,0.0,True,0.7731,attribution_award_date,sentence_transformers,OUVERT,TRAVAUX,0,0,0,,0.4333,,,1,True,False
BOAMP:17-93042,SIREN:391722881,72.0,IT Services & Consulting,2017-07-02,24.0,False,2019-07-02,0,,89.98,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:17-93666,SIREN:264400136,72.0,IT Services & Consulting,2017-07-03,48.0,True,2021-07-03,1,BOAMP:21-113953,49.57,0.7721,0.5613,1.0,True,0.7378,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.7721,0.7589,0.01319999999999999,5,False,False
BOAMP:17-93952,SIREN:391722881,72.0,Digital Workplace & Collaboration,2018-05-14,24.0,False,2020-05-13,1,BOAMP:20-97584,26.58,0.4124,0.2458,0.2,True,0.5705,attribution_award_date,sentence_transformers,NEGOCIE,SERVICES,0,0,0,,0.4124,0.3833,0.029100000000000015,2,False,False
BOAMP:17-97519,SIREN:214402042,72.0,Digital Workplace & Collaboration,2017-07-07,48.0,True,2021-07-07,1,BOAMP:21-146075,51.81,0.5775,0.6359,0.4,True,0.3655,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.5775,,,1,True,False
BOAMP:17-97609,SIREN:284400017,35.0,Cybersecurity,2017-07-07,48.0,True,2021-07-07,1,BOAMP:21-38984,44.51,0.6076,0.6846,0.4,True,0.419,publication_date,sentence_transformers,PROCEDURE_ADAPTE,,0,0,0,,0.6076,0.3106,0.29700000000000004,2,False,False
BOAMP:17-94724,SIREN:214401846,32.0,Telecom & Networks,2017-10-03,36.0,False,2020-10-02,1,BOAMP:20-98331,34.0,0.5133,0.5749,0.0,True,0.6669,attribution_award_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.5133,0.4078,0.10549999999999998,3,False,False
BOAMP:17-98996,SIREN:214401622,72.0,IT Services & Consulting,2017-07-11,36.0,False,2020-07-10,1,BOAMP:20-118247,41.2,0.483,0.6406,0.2,True,0.134,publication_date,sentence_transformers,PROCEDURE_ADAPTE,SERVICES,0,0,0,,0.483,,,1,True,False
