buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
SPL Laval Mayenne Aménagements,spl laval mayenne amenagements,555650308,55565030800011,previous_high_confidence_cache,HIGH,matched,100.0,0.0,7,LAVAL MAYENNE AMENAGEMENTS (SEM L.M.A.),seeded from existing high-confidence buyer enrichment
SPM - DSAF - BCP,spm dsaf bcp,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=spm dsaf bcp
SPR Pays de la Loire,spr pays loire,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=spr pays loire
SRD,srd,502035785,50203578500018,previous_high_confidence_cache,HIGH,matched,100.0,49.1,4,SRD,seeded from existing high-confidence buyer enrichment
SYDELA,sydela,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,46.7,8.6,4,SYDELA ENERGIE SIX PIECES,query=sydela
SYND DEP D ENERGIE ET D EQPT DE VENDEE,synd dep energie eqpt vendee,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=synd dep energie eqpt vendee
SYND MIXTE DU PAYS DE COUTANCES,synd mixte pays coutances,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=synd mixte pays coutances
SYNDICAT MIXTE GIGALIS,syndicat mixte gigalis,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=mixte gigalis
SYNDICAT MIXTE OUVERT ANJOU NUMERIQUE,syndicat mixte ouvert anjou numerique,200052587,20005258700017,previous_high_confidence_cache,HIGH,matched,100.0,,1,SYNDICAT MIXTE OUVERT ANJOU NUMERIQUE,seeded from existing high-confidence buyer enrichment
SYNDICAT MIXTE POUR LE DVLPT NUMERIQUE,syndicat mixte dvlpt numerique,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=mixte dvlpt numerique
Saint-Nazaire Agglomération -  la CARENE,saint nazaire agglomeration carene,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,70.4,22.6,5,SOCIETE DES TRANSPORTS DE L'AGGLOMERATION NAZAIRIENNE (STRAN),query=saint nazaire agglomeration carene
Sarthe Habitat,sarthe habitat,403040850,40304085000022,previous_high_confidence_cache,HIGH,matched,100.0,0.0,10,SARTHE HABITAT,seeded from existing high-confidence buyer enrichment
Saumur Agglopropreté,saumur aggloproprete,794885913,79488591300010,previous_high_confidence_cache,HIGH,matched,100.0,34.9,2,SAUMUR AGGLOPROPRETE,seeded from existing high-confidence buyer enrichment
Sdis de la Mayenne,sdis mayenne,285300018,28530001800030,previous_high_confidence_cache,HIGH,matched,100.0,29.2,2,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),seeded from existing high-confidence buyer enrichment
Sembreizh société,sembreizh societe,599200136,59920013600241,previous_high_confidence_cache,HIGH,matched,80.0,27.8,10,SEMBREIZH (SEMAEB),seeded from existing high-confidence buyer enrichment
Service Informatique,service informatique,535287650,53528765000027,api_recherche_entreprises_current,HIGH,matched,100.0,12.7,10,TJ INFORMATIQUE SERVICE,query=service informatique
Société Loire Atlantique Développement,societe loire atlantique developpement,860800077,86080007700098,previous_high_confidence_cache,HIGH,matched,100.0,0.0,10,LOIRE ATLANTIQUE DEVELOPPEMENT SELA (SELA),seeded from existing high-confidence buyer enrichment
Société d'aménagement de la Métropole Ouest Atlantique,societe amenagement metropole ouest atlantique,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=amenagement metropole ouest atlantique
St Gilles Croix de Vie Agglomération,st gilles croix vie agglomeration,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=st gilles croix vie agglomeration
Sud Retz Atlantique (44),sud retz atlantique 44,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,34.0,,1,SYDELA ENERGIE SIX PIECES,query=sud retz atlantique 44
Syndicat Départemental d'Energie,syndicat departemental energie,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,71.6,22.7,4,SYNDICAT DEPARTEMENTAL D'ENERGIE ET D'EQUIPEMENT DE LA VENDEE (SYDEV),query=departemental energie
Syndicat Départemental d'Energie et d'Equipement de la Vendée (85),syndicat departemental energie equipement vendee 85,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=departemental energie equipement vendee 85
"Syndicat Mixte "" Sarthe Numérique """,syndicat mixte sarthe numerique,257202432,25720243200015,previous_high_confidence_cache,HIGH,matched,100.0,,1,SYNDICAT MIXTE SARTHE NUMERIQUE,seeded from existing high-confidence buyer enrichment
Syndicat Mixte e-Collectivités Vendée,syndicat mixte e collectivites vendee,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=mixte e collectivites vendee
Syndicat Mixte pour le Développement Numérique,syndicat mixte developpement numerique,257202176,25720217600018,previous_high_confidence_cache,HIGH,matched,97.2,,1,SYNDICAT MIXTE POUR LE DEVELOPPEMENT NUMERIQUE (SMIDEN),seeded from existing high-confidence buyer enrichment
Syndicat Trivalis,syndicat trivalis,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,25.4,,1,SYNDICAT MIXTE ETUDES POUR COORDINATION DEPARTEMENTALE DE TRAITEMENT DECHETS MENAGERS DE VENDEE (TRIVALIS),query=trivalis
Syndicat Vendée des Iles,syndicat vendee iles,449073014,44907301400028,previous_high_confidence_cache,HIGH,matched,100.0,,1,VENDEE-ILES,seeded from existing high-confidence buyer enrichment
Syndicat intercommunal d'énergies de Maine-et-Loire (Siéml),syndicat intercommunal energies maine loire sieml,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=intercommunal energies maine loire sieml
TERRITOIRE D'ENERGIE MAYENNE,territoire energie mayenne,200082477,20008247700015,previous_high_confidence_cache,HIGH,matched,99.2,33.9,2,TERRITOIRE D'ENERGIE MAYENNE (TE53),seeded from existing high-confidence buyer enrichment
TERRITOIRE ENERGIE LOIRE ATLANTIQUE,territoire energie loire atlantique,200014926,20001492600030,previous_high_confidence_cache,HIGH,matched,95.5,,1,TERRITOIRE D ENERGIE LOIRE ATLANTIQUE (TE44) (TE44),seeded from existing high-confidence buyer enrichment
"Terres de Montaigu, Communauté d'Agglomération (85)",terres montaigu communaute agglomeration 85,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=terres montaigu communaute agglomeration 85
Territoire d'Énergie de Mayenne,territoire energie mayenne,200082477,20008247700015,previous_high_confidence_cache,HIGH,matched,99.2,33.9,2,TERRITOIRE D'ENERGIE MAYENNE (TE53),seeded from existing high-confidence buyer enrichment
Territoire d'énergie Loire-Atlantique,territoire energie loire atlantique,200014926,20001492600030,previous_high_confidence_cache,HIGH,matched,95.5,,1,TERRITOIRE D ENERGIE LOIRE ATLANTIQUE (TE44) (TE44),seeded from existing high-confidence buyer enrichment
Théatre Le Quai,theatre quai,903807220,90380722000012,previous_high_confidence_cache,HIGH,matched,100.0,21.0,10,THEATRE LE QUAI,seeded from existing high-confidence buyer enrichment
Tribunal Administratif de Nantes,tribunal administratif nantes,174400051,17440005100010,previous_high_confidence_cache,HIGH,matched,100.0,18.6,2,TRIBUNAL ADMINISTRATIF DE NANTES (TA),seeded from existing high-confidence buyer enrichment
Tribunal administratif de Nantes,tribunal administratif nantes,174400051,17440005100010,previous_high_confidence_cache,HIGH,matched,100.0,18.6,2,TRIBUNAL ADMINISTRATIF DE NANTES (TA),seeded from existing high-confidence buyer enrichment
Tribunal administratif de Paris,tribunal administratif paris,177500055,17750005500013,previous_high_confidence_cache,HIGH,matched,100.0,50.0,3,TRIBUNAL ADMINISTRATIF DE PARIS (TA),seeded from existing high-confidence buyer enrichment
UBS,ubs,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,39.6,11.6,3,UBS SAILING TEAM,query=ubs
UGECAM Bretagne Pays de La Loire,ugecam bretagne pays loire,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=ugecam bretagne pays loire
