buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
Ville de Talmont - Saint Hilaire,ville talmont saint hilaire,218502888,21850288800017,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE TALMONT-SAINT-HILAIRE,seeded from existing high-confidence buyer enrichment
Ville de Talmont Saint Hilaire,ville talmont saint hilaire,218502888,21850288800017,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE TALMONT-SAINT-HILAIRE,seeded from existing high-confidence buyer enrichment
Ville de Thouaré-sur-Loire,ville thouare loire,214402042,21440204200110,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE THOUARE-SUR-LOIRE,seeded from existing high-confidence buyer enrichment
Ville de Trélazé (49),ville trelaze 49,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=commune trelaze 49
Ville de Vertou,ville vertou,214402158,21440215800015,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE VERTOU,seeded from existing high-confidence buyer enrichment
Ville de Villemomble,ville villemomble,219300779,21930077900200,previous_high_confidence_cache,HIGH,matched,100.0,52.2,2,COMMUNE DE VILLEMOMBLE,seeded from existing high-confidence buyer enrichment
Ville des Sables d'Olonne,ville sables olonne,414106039,41410603900012,api_recherche_entreprises_current,HIGH,matched,83.4,10.0,10,T VE C85 LES SABLES D'OLONNE,query=ville sables olonne
Ville du Croisic,ville croisic,451324974,45132497400018,previous_high_confidence_cache,HIGH,matched,100.0,43.1,10,VILLE DU CROISIC V,seeded from existing high-confidence buyer enrichment
Ville du Mans,ville mans,217500016,21750001600019,api_recherche_entreprises_current,HIGH,matched,80.2,16.6,10,VILLE DE PARIS,query=ville mans
Ville du POULIGUEN,ville pouliguen,214401358,21440135800095,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DU POULIGUEN,seeded from existing high-confidence buyer enrichment
association songo,association songo,409104007,40910400700029,previous_high_confidence_cache,HIGH,matched,100.0,60.0,2,SONGO,seeded from existing high-confidence buyer enrichment
commune de Le Pellerin,commune pellerin,214401200,21440120000016,previous_high_confidence_cache,HIGH,matched,100.0,33.1,2,COMMUNE DU PELLERIN,seeded from existing high-confidence buyer enrichment
e-Collectivités Vendée,e collectivites vendee,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=e collectivites vendee
préfet de la région Pays de la Loire,prefet region pays loire,234400034,23440003400026,previous_high_confidence_cache,HIGH,matched,88.9,,1,REGION DES PAYS DE LA LOIRE,seeded from existing high-confidence buyer enrichment
ville de Bouchemaine,ville bouchemaine,214900359,21490035900016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BOUCHEMAINE,seeded from existing high-confidence buyer enrichment
ville de Coulaines,ville coulaines,217200955,21720095500011,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE COULAINES,seeded from existing high-confidence buyer enrichment
ville de Sainte-Luce-sur-Loire,ville sainte luce loire,214401721,21440172100011,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINTE-LUCE-SUR-LOIRE,seeded from existing high-confidence buyer enrichment
